"","gene_name.x","gene_id.x","lsv_id.x","num_junctions.x","num_exons.x","de_novo_junctions.x","seqid.x","strand.x","lsv_junc.x","junc_start.x","junc_end.x","ir_start.x","ir_end.x","paste_into_igv_junction","exon_type.x","color_gene_name.x","Control_Control","Cycloheximide_Control","Control_TDP43KD","Cycloheximide_TDP43KD","gene_name.y","gene_id.y","lsv_id.y","num_junctions.y","num_exons.y","de_novo_junctions.y","seqid.y","strand.y","lsv_junc.y","junc_start.y","junc_end.y","ir_start.y","ir_end.y","exon_type.y","color_gene_name.y","ctrl_ctrl","ctrl_UPF1","TDP43_ctrl","TDP43_UPF1"
"209","SIPA1L3","ENSG00000105738.11","ENSG00000105738.11:s:38101052-38101226",3,"3",1,"chr19","+","ENSG00000105738.11:s:38101052-38101226_38101226-38101593",38101226,38101593,NA,NA,"chr19:38101226-38101593","source","Delta PSI > 0.05",0.0057,0.0219,0.0297,0.1295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","CCDC9","ENSG00000105321.14","ENSG00000105321.14:s:47271274-47271953",4,"3",1,"chr19","+","ENSG00000105321.14:s:47271274-47271953_47271672-47272069",47271672,47272069,NA,NA,"chr19:47271672-47272069","source","Delta PSI < 0.05",0.0139,2e-04,0.1323,0.0858,"CCDC9","ENSG00000105321.14","ENSG00000105321.14:s:47271274-47271953",3,"2",1,"chr19","+","ENSG00000105321.14:s:47271274-47271953_47271672-47272069",47271672,47272069,NA,NA,"source","Delta PSI < 0.05",9e-04,6e-04,0.1094,0.071
"211","DNAJB6","ENSG00000105993.15","ENSG00000105993.15:t:157382246-157382743",8,"6",0,"chr7","+","ENSG00000105993.15:t:157382246-157382743_157381986-157382246",157381986,157382246,NA,NA,"chr7:157381986-157382246","target","Delta PSI > 0.05",0.0041,0.0096,0.0484,0.1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","SNX8","ENSG00000106266.11","ENSG00000106266.11:s:2314328-2314441",2,"3",1,"chr7","-","ENSG00000106266.11:s:2314328-2314441_2280470-2314328",2280470,2314328,NA,NA,"chr7:2280470-2314328","source","Delta PSI < 0.05",0.0179,0.0363,0.1283,0.1209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","TAF6","ENSG00000106290.15","ENSG00000106290.15:s:100118396-100118653",4,"3",0,"chr7","-","ENSG00000106290.15:s:100118396-100118653_100114268-100118396",100114268,100118396,100116634,100118395,"chr7:100114268-100118396","source","Delta PSI < 0.05",0.0081,0.042,0.1345,0.1515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","CRTC1","ENSG00000105662.16","ENSG00000105662.16:t:18771442-18771546",3,"3",1,"chr19","+","ENSG00000105662.16:t:18771442-18771546_18771325-18771442",18771325,18771442,18771326,18771441,"chr19:18771325-18771442","target","Delta PSI < 0.05",0.0095,0.0228,0.0814,0.1167,"CRTC1","ENSG00000105662.16","ENSG00000105662.16:t:18771442-18771546",3,"3",1,"chr19","+","ENSG00000105662.16:t:18771442-18771546_18771325-18771442",18771325,18771442,18768794,18771441,"target","Delta PSI < 0.05",9e-04,0.001,0.0634,0.1116
"215","RBM28","ENSG00000106344.8","ENSG00000106344.8:s:128343676-128343908",4,"5",1,"chr7","-","ENSG00000106344.8:s:128343676-128343908_128341355-128343676",128341355,128343676,NA,NA,"chr7:128341355-128343676","source","Delta PSI > 0.05",0.0024,0.039,0.064,0.1514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","RBM28","ENSG00000106344.8","ENSG00000106344.8:t:128339633-128339791",3,"4",1,"chr7","-","ENSG00000106344.8:t:128339633-128339791_128339791-128341290",128339791,128341290,NA,NA,"chr7:128339791-128341290","target","Delta PSI > 0.05",0.0032,0.0358,0.0524,0.1266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","ANKMY2","ENSG00000106524.9","ENSG00000106524.9:t:16602380-16602509",2,"3",0,"chr7","-","ENSG00000106524.9:t:16602380-16602509_16602509-16603549",16602509,16603549,NA,NA,"chr7:16602509-16603549","target","Delta PSI > 0.05",0.0128,0.0351,0.0424,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","PRKAG2","ENSG00000106617.15","ENSG00000106617.15:t:151594966-151595454",7,"5",0,"chr7","-","ENSG00000106617.15:t:151594966-151595454_151595454-151675420",151595454,151675420,NA,NA,"chr7:151595454-151675420","target","Delta PSI < 0.05",0.0068,0.0288,0.1179,0.0927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","DNM1","ENSG00000106976.21","ENSG00000106976.21:s:128250725-128251244",7,"4",1,"chr9","+","ENSG00000106976.21:s:128250725-128251244_128250940-128253047",128250940,128253047,128251245,128253046,"chr9:128250940-128253047","source","Delta PSI > 0.05",0.0011,5e-04,0.0945,0.1697,"DNM1","ENSG00000106976.21","ENSG00000106976.21:s:128250725-128251244",6,"4",1,"chr9","+","ENSG00000106976.21:s:128250725-128251244_128250940-128253047",128250940,128253047,128251245,128253046,"source","Delta PSI < 0.05",4e-04,5e-04,0.1286,0.1034
"220","DNM1","ENSG00000106976.21","ENSG00000106976.21:t:128253047-128253137",4,"3",1,"chr9","+","ENSG00000106976.21:t:128253047-128253137_128250940-128253047",128250940,128253047,128251245,128253046,"chr9:128250940-128253047","target","Delta PSI > 0.05",0.0088,0.0036,0.1358,0.2555,"DNM1","ENSG00000106976.21","ENSG00000106976.21:s:128250725-128251244",6,"4",1,"chr9","+","ENSG00000106976.21:s:128250725-128251244_128250940-128253047",128250940,128253047,128251245,128253046,"source","Delta PSI < 0.05",4e-04,5e-04,0.1286,0.1034
"221","DNM1","ENSG00000106976.21","ENSG00000106976.21:t:128253047-128253137",4,"3",1,"chr9","+","ENSG00000106976.21:t:128253047-128253137_128252801-128253101",128252801,128253101,128251245,128253046,"chr9:128252801-128253101","target","Delta PSI < 0.05",0.0088,0.0036,0.08,0.1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","FUBP3","ENSG00000107164.16","ENSG00000107164.16:s:130617797-130617895",3,"3",1,"chr9","+","ENSG00000107164.16:s:130617797-130617895_130617895-130619327",130617895,130619327,130617896,130619326,"chr9:130617895-130619327","source","Delta PSI > 0.05",9e-04,0.0022,0.0147,0.1661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","FUBP3","ENSG00000107164.16","ENSG00000107164.16:t:130620354-130620475",4,"4",1,"chr9","+","ENSG00000107164.16:t:130620354-130620475_130619388-130620354",130619388,130620354,130619389,130620353,"chr9:130619388-130620354","target","Delta PSI > 0.05",6e-04,0.0014,0.0148,0.1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","IQCE","ENSG00000106012.18","ENSG00000106012.18:t:2567116-2567163",4,"4",1,"chr7","+","ENSG00000106012.18:t:2567116-2567163_2565071-2567116",2565071,2567116,NA,NA,"chr7:2565071-2567116","target","Delta PSI < 0.05",0.008,0.0015,0.8673,0.8464,"IQCE","ENSG00000106012.18","ENSG00000106012.18:t:2567116-2567163",3,"4",1,"chr7","+","ENSG00000106012.18:t:2567116-2567163_2565071-2567116",2565071,2567116,NA,NA,"target","Delta PSI < 0.05",0.0034,0.0043,0.8706,0.8753
"225","PLEKHA8","ENSG00000106086.20","ENSG00000106086.20:s:30074071-30074132",8,"8",1,"chr7","+","ENSG00000106086.20:s:30074071-30074132_30074132-30074347",30074132,30074347,30074133,30075288,"chr7:30074132-30074347","source","Delta PSI < 0.05",0.001,0.01,0.1087,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","TRDMT1","ENSG00000107614.22","ENSG00000107614.22:s:17157441-17157784",2,"2",1,"chr10","-","ENSG00000107614.22:s:17157441-17157784_17154734-17157462",17154734,17157462,NA,NA,"chr10:17154734-17157462","source","Delta PSI < 0.05",0.019,0.0481,0.1193,0.1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","WASL","ENSG00000106299.8","ENSG00000106299.8:s:123692347-123692867",3,"3",1,"chr7","-","ENSG00000106299.8:s:123692347-123692867_123684580-123692347",123684580,123692347,123689151,123692346,"chr7:123684580-123692347","source","Delta PSI > 0.05",0.0016,8e-04,0.572,0.7108,"WASL","ENSG00000106299.8","ENSG00000106299.8:t:123681943-123684580",4,"3",1,"chr7","-","ENSG00000106299.8:t:123681943-123684580_123684580-123692347",123684580,123692347,123684581,123688996,"target","Delta PSI < 0.05",2e-04,2e-04,0.445,0.4067
"228","WASL","ENSG00000106299.8","ENSG00000106299.8:t:123681943-123684580",4,"3",1,"chr7","-","ENSG00000106299.8:t:123681943-123684580_123684580-123692347",123684580,123692347,123684581,123688996,"chr7:123684580-123692347","target","Delta PSI > 0.05",0.0012,7e-04,0.6332,0.7672,"WASL","ENSG00000106299.8","ENSG00000106299.8:t:123681943-123684580",4,"3",1,"chr7","-","ENSG00000106299.8:t:123681943-123684580_123684580-123692347",123684580,123692347,123684581,123688996,"target","Delta PSI < 0.05",2e-04,2e-04,0.445,0.4067
"229","USP42","ENSG00000106346.11","ENSG00000106346.11:t:6135841-6135951",5,"6",1,"chr7","+","ENSG00000106346.11:t:6135841-6135951_6122200-6135841",6122200,6135841,NA,NA,"chr7:6122200-6135841","target","Delta PSI > 0.05",0.0046,0.0427,0.0085,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","NSMCE4A","ENSG00000107672.15","ENSG00000107672.15:s:121974004-121974285",2,"3",1,"chr10","-","ENSG00000107672.15:s:121974004-121974285_121973599-121974004",121973599,121974004,NA,NA,"chr10:121973599-121974004","source","Delta PSI < 0.05",0.0084,0.0185,0.2861,0.239,"NSMCE4A","ENSG00000107672.15","ENSG00000107672.15:s:121974004-121974285",2,"3",1,"chr10","-","ENSG00000107672.15:s:121974004-121974285_121973599-121974004",121973599,121974004,NA,NA,"source","Delta PSI < 0.05",0.0057,0.0245,0.1993,0.225
"231","NSMCE4A","ENSG00000107672.15","ENSG00000107672.15:t:121970939-121971069",4,"4",1,"chr10","-","ENSG00000107672.15:t:121970939-121971069_121971069-121973523",121971069,121973523,NA,NA,"chr10:121971069-121973523","target","Delta PSI < 0.05",0.011,0.0091,0.1902,0.2371,"NSMCE4A","ENSG00000107672.15","ENSG00000107672.15:t:121970939-121971069",4,"4",1,"chr10","-","ENSG00000107672.15:t:121970939-121971069_121971069-121973523",121971069,121973523,NA,NA,"target","Delta PSI < 0.05",0.0052,0.0249,0.1556,0.165
"232","YKT6","ENSG00000106636.9","ENSG00000106636.9:t:44208795-44210931",5,"2",1,"chr7","+","ENSG00000106636.9:t:44208795-44210931_44208198-44210090",44208198,44210090,44208581,44208794,"chr7:44208198-44210090","target","Delta PSI > 0.05",0.0054,0.0143,0.0141,0.1776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","HSD17B1","ENSG00000108786.11","ENSG00000108786.11:s:42554402-42554582",2,"2",0,"chr17","+","ENSG00000108786.11:s:42554402-42554582_42554582-42554669",42554582,42554669,42554583,42554668,"chr17:42554582-42554669","source","Delta PSI > 0.05",0.0201,0.0479,0.0767,0.2178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","PTGES3L-AARSD1","ENSG00000108825.18","ENSG00000108825.18:t:42964106-42964237",3,"3",1,"chr17","-","ENSG00000108825.18:t:42964106-42964237_42964237-42969156",42964237,42969156,42964238,42970288,"chr17:42964237-42969156","target","Delta PSI > 0.05",0.0148,0.0189,0.0051,0.1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","DNMBP","ENSG00000107554.17","ENSG00000107554.17:t:99879811-99880361",2,"3",1,"chr10","-","ENSG00000107554.17:t:99879811-99880361_99880361-99881103",99880361,99881103,NA,NA,"chr10:99880361-99881103","target","Delta PSI > 0.05",0.0278,0.0278,0.0448,0.1344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","DNMBP","ENSG00000107554.17","ENSG00000107554.17:t:99908953-99909146",3,"4",0,"chr10","-","ENSG00000107554.17:t:99908953-99909146_99909146-99913953",99909146,99913953,NA,NA,"chr10:99909146-99913953","target","Delta PSI > 0.05",0.0123,0.0046,0.0031,0.1338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","LZTS2","ENSG00000107816.17","ENSG00000107816.17:t:101005458-101005715",3,"3",1,"chr10","+","ENSG00000107816.17:t:101005458-101005715_101002946-101005458",101002946,101005458,101004167,101005457,"chr10:101002946-101005458","target","Delta PSI > 0.05",0.0025,0.0275,0.02,0.1098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","ARHGAP21","ENSG00000107863.19","ENSG00000107863.19:s:24619473-24621369",4,"5",1,"chr10","-","ENSG00000107863.19:s:24619473-24621369_24609531-24619473",24609531,24619473,NA,NA,"chr10:24609531-24619473","source","Delta PSI > 0.05",0.0173,0.0142,0.0258,0.1303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","ANKRD26","ENSG00000107890.17","ENSG00000107890.17:s:27033225-27033377",2,"3",0,"chr10","-","ENSG00000107890.17:s:27033225-27033377_27030600-27033225",27030600,27033225,NA,NA,"chr10:27030600-27033225","source","Delta PSI > 0.05",0.0092,0.0416,0.0129,0.1157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","PHF12","ENSG00000109118.14","ENSG00000109118.14:t:28926991-28927063",3,"4",0,"chr17","-","ENSG00000109118.14:t:28926991-28927063_28927063-28944503",28927063,28944503,NA,NA,"chr17:28927063-28944503","target","Delta PSI > 0.05",0.0427,0.0461,0.097,0.1789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","CRACD","ENSG00000109265.15","ENSG00000109265.15:s:56298214-56298349",6,"5",0,"chr4","+","ENSG00000109265.15:s:56298214-56298349_56298349-56301226",56298349,56301226,NA,NA,"chr4:56298349-56301226","source","Delta PSI < 0.05",0.0116,3e-04,0.1378,0.0986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","DNAJC12","ENSG00000108176.15","ENSG00000108176.15:t:67823314-67823392",4,"5",1,"chr10","-","ENSG00000108176.15:t:67823314-67823392_67823392-67835392",67823392,67835392,NA,NA,"chr10:67823392-67835392","target","Delta PSI > 0.05",0.0017,0.0199,0.0318,0.1208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","CLCN3","ENSG00000109572.14","ENSG00000109572.14:s:169697361-169697734",3,"4",1,"chr4","+","ENSG00000109572.14:s:169697361-169697734_169697734-169706868",169697734,169706868,NA,NA,"chr4:169697734-169706868","source","Delta PSI > 0.05",0.0012,0.0234,0.0018,0.1515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","CLCN3","ENSG00000109572.14","ENSG00000109572.14:t:169706868-169707266",2,"3",1,"chr4","+","ENSG00000109572.14:t:169706868-169707266_169697734-169706868",169697734,169706868,NA,NA,"chr4:169697734-169706868","target","Delta PSI > 0.05",0.0024,0.0371,0.0023,0.1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","MADD","ENSG00000110514.19","ENSG00000110514.19:s:47324471-47325035",8,"5",1,"chr11","+","ENSG00000110514.19:s:47324471-47325035_47325032-47326544",47325032,47326544,NA,NA,"chr11:47325032-47326544","source","Delta PSI > 0.05",7e-04,0.0019,0.074,0.4013,"MADD","ENSG00000110514.19","ENSG00000110514.19:s:47324471-47325035",7,"5",1,"chr11","+","ENSG00000110514.19:s:47324471-47325035_47325032-47326544",47325032,47326544,NA,NA,"source","Delta PSI < 0.05",0.0013,1e-04,0.1102,0.074
"246","MADD","ENSG00000110514.19","ENSG00000110514.19:s:47324471-47325035",8,"5",1,"chr11","+","ENSG00000110514.19:s:47324471-47325035_47325032-47326544",47325032,47326544,NA,NA,"chr11:47325032-47326544","source","Delta PSI > 0.05",7e-04,0.0019,0.074,0.4013,"MADD","ENSG00000110514.19","ENSG00000110514.19:t:47326544-47326552",4,"3",1,"chr11","+","ENSG00000110514.19:t:47326544-47326552_47325032-47326544",47325032,47326544,47325330,47326543,"target","Delta PSI < 0.05",0.0033,4e-04,0.2058,0.1636
"247","MADD","ENSG00000110514.19","ENSG00000110514.19:s:47324471-47325035",8,"5",1,"chr11","+","ENSG00000110514.19:s:47324471-47325035_47325032-47326738",47325032,47326738,NA,NA,"chr11:47325032-47326738","source","Delta PSI > 0.05",0.0068,1e-04,0.1571,0.2255,"MADD","ENSG00000110514.19","ENSG00000110514.19:t:47326738-47327186",3,"3",1,"chr11","+","ENSG00000110514.19:t:47326738-47327186_47325032-47326738",47325032,47326738,NA,NA,"target","Delta PSI < 0.05",3e-04,3e-04,0.0879,0.1064
"248","MADD","ENSG00000110514.19","ENSG00000110514.19:s:47324471-47325035",8,"5",1,"chr11","+","ENSG00000110514.19:s:47324471-47325035_47325032-47328658",47325032,47328658,NA,NA,"chr11:47325032-47328658","source","Delta PSI > 0.05",7e-04,1e-04,0.0443,0.1571,"MADD","ENSG00000110514.19","ENSG00000110514.19:s:47324471-47325035",7,"5",1,"chr11","+","ENSG00000110514.19:s:47324471-47325035_47325032-47328658",47325032,47328658,NA,NA,"source","Delta PSI < 0.05",1e-04,0.0013,0.1973,0.2345
"249","MADD","ENSG00000110514.19","ENSG00000110514.19:s:47324471-47325035",8,"5",1,"chr11","+","ENSG00000110514.19:s:47324471-47325035_47325032-47328658",47325032,47328658,NA,NA,"chr11:47325032-47328658","source","Delta PSI > 0.05",7e-04,1e-04,0.0443,0.1571,"MADD","ENSG00000110514.19","ENSG00000110514.19:t:47328142-47328704",4,"3",1,"chr11","+","ENSG00000110514.19:t:47328142-47328704_47325032-47328658",47325032,47328658,47327187,47328141,"target","Delta PSI < 0.05",1e-04,0.0011,0.1335,0.1681
"250","PIGL","ENSG00000108474.17","ENSG00000108474.17:t:16348239-16348801",5,"5",1,"chr17","+","ENSG00000108474.17:t:16348239-16348801_16344711-16348574",16344711,16348574,16347718,16348238,"chr17:16344711-16348574","target","Delta PSI < 0.05",0.0062,0.0331,0.1077,0.1243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","INTS2","ENSG00000108506.13","ENSG00000108506.13:t:61881007-61881171",2,"3",1,"chr17","-","ENSG00000108506.13:t:61881007-61881171_61881171-61884571",61881171,61884571,NA,NA,"chr17:61881171-61884571","target","Delta PSI > 0.05",0.0185,0.0384,0.0018,0.1227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","MADD","ENSG00000110514.19","ENSG00000110514.19:t:47326544-47326552",4,"3",1,"chr11","+","ENSG00000110514.19:t:47326544-47326552_47325032-47326544",47325032,47326544,47325330,47326543,"chr11:47325032-47326544","target","Delta PSI > 0.05",0.0035,0.0049,0.1587,0.7748,"MADD","ENSG00000110514.19","ENSG00000110514.19:s:47324471-47325035",7,"5",1,"chr11","+","ENSG00000110514.19:s:47324471-47325035_47325032-47326544",47325032,47326544,NA,NA,"source","Delta PSI < 0.05",0.0013,1e-04,0.1102,0.074
"253","MADD","ENSG00000110514.19","ENSG00000110514.19:t:47326544-47326552",4,"3",1,"chr11","+","ENSG00000110514.19:t:47326544-47326552_47325032-47326544",47325032,47326544,47325330,47326543,"chr11:47325032-47326544","target","Delta PSI > 0.05",0.0035,0.0049,0.1587,0.7748,"MADD","ENSG00000110514.19","ENSG00000110514.19:t:47326544-47326552",4,"3",1,"chr11","+","ENSG00000110514.19:t:47326544-47326552_47325032-47326544",47325032,47326544,47325330,47326543,"target","Delta PSI < 0.05",0.0033,4e-04,0.2058,0.1636
"254","MADD","ENSG00000110514.19","ENSG00000110514.19:t:47326738-47327186",4,"4",1,"chr11","+","ENSG00000110514.19:t:47326738-47327186_47325032-47326738",47325032,47326738,NA,NA,"chr11:47325032-47326738","target","Delta PSI > 0.05",0.0095,3e-04,0.1836,0.2693,"MADD","ENSG00000110514.19","ENSG00000110514.19:t:47326738-47327186",3,"3",1,"chr11","+","ENSG00000110514.19:t:47326738-47327186_47325032-47326738",47325032,47326738,NA,NA,"target","Delta PSI < 0.05",3e-04,3e-04,0.0879,0.1064
"255","MADD","ENSG00000110514.19","ENSG00000110514.19:t:47328142-47328704",5,"3",1,"chr11","+","ENSG00000110514.19:t:47328142-47328704_47325032-47328658",47325032,47328658,47327187,47328141,"chr11:47325032-47328658","target","Delta PSI > 0.05",9e-04,1e-04,0.0296,0.1049,"MADD","ENSG00000110514.19","ENSG00000110514.19:s:47324471-47325035",7,"5",1,"chr11","+","ENSG00000110514.19:s:47324471-47325035_47325032-47328658",47325032,47328658,NA,NA,"source","Delta PSI < 0.05",1e-04,0.0013,0.1973,0.2345
"256","MADD","ENSG00000110514.19","ENSG00000110514.19:t:47328142-47328704",5,"3",1,"chr11","+","ENSG00000110514.19:t:47328142-47328704_47325032-47328658",47325032,47328658,47327187,47328141,"chr11:47325032-47328658","target","Delta PSI > 0.05",9e-04,1e-04,0.0296,0.1049,"MADD","ENSG00000110514.19","ENSG00000110514.19:t:47328142-47328704",4,"3",1,"chr11","+","ENSG00000110514.19:t:47328142-47328704_47325032-47328658",47325032,47328658,47327187,47328141,"target","Delta PSI < 0.05",1e-04,0.0011,0.1335,0.1681
"257","RAI1","ENSG00000108557.19","ENSG00000108557.19:t:17792933-17793564",3,"4",1,"chr17","+","ENSG00000108557.19:t:17792933-17793564_17792300-17792933",17792300,17792933,NA,NA,"chr17:17792300-17792933","target","Delta PSI < 0.05",0.0108,0.0073,0.1243,0.0911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","NEIL3","ENSG00000109674.4","ENSG00000109674.4:s:177353308-177354279",3,"3",1,"chr4","+","ENSG00000109674.4:s:177353308-177354279_177353728-177362289",177353728,177362289,177354280,177360502,"chr4:177353728-177362289","source","Delta PSI > 0.05",0.0175,0.0206,0.0939,0.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","NEIL3","ENSG00000109674.4","ENSG00000109674.4:t:177362289-177362936",2,"3",1,"chr4","+","ENSG00000109674.4:t:177362289-177362936_177353728-177362289",177353728,177362289,NA,NA,"chr4:177353728-177362289","target","Delta PSI > 0.05",0.0145,0.0201,0.1002,0.1724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","SH3D19","ENSG00000109686.19","ENSG00000109686.19:t:151144220-151144404",2,"3",1,"chr4","-","ENSG00000109686.19:t:151144220-151144404_151144288-151149500",151144288,151149500,NA,NA,"chr4:151144288-151149500","target","Delta PSI > 0.05",0.0455,0.0494,0.0325,0.2411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","PUS3","ENSG00000110060.9","ENSG00000110060.9:t:125895907-125896330",2,"3",0,"chr11","-","ENSG00000110060.9:t:125895907-125896330_125896330-125900679",125896330,125900679,NA,NA,"chr11:125896330-125900679","target","Delta PSI > 0.05",0.0404,0.0235,0.0861,0.1718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","DCPS","ENSG00000110063.10","ENSG00000110063.10:s:126306570-126306744",2,"3",1,"chr11","+","ENSG00000110063.10:s:126306570-126306744_126306744-126330194",126306744,126330194,NA,NA,"chr11:126306744-126330194","source","Delta PSI > 0.05",0.017,0.0366,0.01,0.1199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","PPP6R3","ENSG00000110075.15","ENSG00000110075.15:t:68558178-68558679",6,"4",1,"chr11","+","ENSG00000110075.15:t:68558178-68558679_68554257-68558178",68554257,68558178,68554258,68558177,"chr11:68554257-68558178","target","Delta PSI > 0.05",7e-04,0.008,0.0362,0.1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","RNGTT","ENSG00000111880.16","ENSG00000111880.16:s:88906365-88906440",2,"3",1,"chr6","-","ENSG00000111880.16:s:88906365-88906440_88906119-88906365",88906119,88906365,NA,NA,"chr6:88906119-88906365","source","Delta PSI > 0.05",0.0066,0.0028,0.0015,0.1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","PPARD","ENSG00000112033.14","ENSG00000112033.14:s:35410987-35411217",3,"4",1,"chr6","+","ENSG00000112033.14:s:35410987-35411217_35411217-35421820",35411217,35421820,NA,NA,"chr6:35411217-35421820","source","Delta PSI > 0.05",0.0126,0.0353,0.0427,0.1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","PPARD","ENSG00000112033.14","ENSG00000112033.14:t:35421820-35421958",2,"3",1,"chr6","+","ENSG00000112033.14:t:35421820-35421958_35411217-35421820",35411217,35421820,NA,NA,"chr6:35411217-35421820","target","Delta PSI > 0.05",0.0156,0.0403,0.056,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","E2F3","ENSG00000112242.15","ENSG00000112242.15:s:20403679-20403832",2,"3",1,"chr6","+","ENSG00000112242.15:s:20403679-20403832_20403832-20488113",20403832,20488113,NA,NA,"chr6:20403832-20488113","source","Delta PSI > 0.05",0.0141,0.0245,0.1052,0.1727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","PDE10A","ENSG00000112541.18","ENSG00000112541.18:t:165908802-165909247",5,"3",1,"chr6","-","ENSG00000112541.18:t:165908802-165909247_165909080-165987529",165909080,165987529,165909248,165910807,"chr6:165909080-165987529","target","Delta PSI > 0.05",0.0042,0.0416,0.0123,0.1127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
