gene_name,gene_id,lsv_id,mean_psi_per_lsv_junction,stdev_psi_per_lsv_junction,num_junctions,num_exons,de_novo_junctions,seqid,strand,lsv_junc,junc_start,junc_end,ir_start,ir_end,paste_into_igv_junction,exon_type,.id,color_gene_name
TAF1,ENSG00000147133.17,ENSG00000147133.17:s:71423117-71423358,0.0155,0.0158,5,2,1,chrX,+,ENSG00000147133.17:s:71423117-71423358_71423358-71423974,71423358,71423974,71423359,71423920,chrX:71423358-71423974,source,dox_ctrl,NMD rescued
DIAPH2,ENSG00000147202.19,ENSG00000147202.19:s:96684712-96685190,0.0419,0.0237,2,3,1,chrX,+,ENSG00000147202.19:s:96684712-96685190_96685190-96738586,96685190,96738586,,,chrX:96685190-96738586,source,dox_ctrl,NMD rescued
DIAPH2,ENSG00000147202.19,ENSG00000147202.19:t:96738586-96738762,0.0408,0.0223,2,3,1,chrX,+,ENSG00000147202.19:t:96738586-96738762_96685190-96738586,96685190,96738586,,,chrX:96685190-96738586,target,dox_ctrl,non-NMD rescued
SHC3,ENSG00000148082.10,ENSG00000148082.10:t:89052037-89052163,0.0303,0.0189,3,3,1,chr9,-,ENSG00000148082.10:t:89052037-89052163_89052163-89057768,89052163,89057768,89052164,89065528,chr9:89052163-89057768,target,dox_ctrl,NMD rescued
NFIB,ENSG00000147862.18,ENSG00000147862.18:s:14306989-14307520,0.025,0.013,5,4,1,chr9,-,ENSG00000147862.18:s:14306989-14307520_14273586-14306989,14273586,14306989,14306019,14306988,chr9:14273586-14306989,source,dox_ctrl,non-NMD rescued
ATG10,ENSG00000152348.16,ENSG00000152348.16:s:82058495-82058602,0.0025,0.0026,4,5,1,chr5,+,ENSG00000152348.16:s:82058495-82058602_82058602-82129612,82058602,82129612,,,chr5:82058602-82129612,source,dox_ctrl,NMD rescued
SIDT2,ENSG00000149577.16,ENSG00000149577.16:s:117196004-117196504,0.0261,0.0162,3,2,1,chr11,+,ENSG00000149577.16:s:117196004-117196504_117196034-117197008,117196034,117197008,117196505,117197007,chr11:117196034-117197008,source,dox_ctrl,non-NMD rescued
DRD2,ENSG00000149295.14,ENSG00000149295.14:s:113413864-113414461,0.0307,0.0172,3,3,1,chr11,-,ENSG00000149295.14:s:113413864-113414461_113412743-113414375,113412743,113414375,,,chr11:113412743-113414375,source,dox_ctrl,non-NMD rescued
DRD2,ENSG00000149295.14,ENSG00000149295.14:t:113412556-113412883,0.0292,0.0165,4,4,1,chr11,-,ENSG00000149295.14:t:113412556-113412883_113412743-113414375,113412743,113414375,,,chr11:113412743-113414375,target,dox_ctrl,non-NMD rescued
GLB1L2,ENSG00000149328.15,ENSG00000149328.15:s:134345034-134345129,0.0496,0.0242,4,3,1,chr11,+,ENSG00000149328.15:s:134345034-134345129_134345129-134345268,134345129,134345268,134345130,134345267,chr11:134345129-134345268,source,dox_ctrl,non-NMD rescued
GLB1L2,ENSG00000149328.15,ENSG00000149328.15:s:134345034-134345129,0.0013,7e-04,4,3,1,chr11,+,ENSG00000149328.15:s:134345034-134345129_134345129-134345496,134345129,134345496,134345130,134345267,chr11:134345129-134345496,source,dox_ctrl,NMD rescued
ROM1,ENSG00000149489.9,ENSG00000149489.9:t:62614258-62614504,0.1461,0.0729,5,3,1,chr11,+,ENSG00000149489.9:t:62614258-62614504_62612098-62614258,62612098,62614258,,,chr11:62612098-62614258,target,dox_ctrl,non-NMD rescued
MAGI1,ENSG00000151276.24,ENSG00000151276.24:s:65379261-65379554,0.0244,0.0186,5,3,1,chr3,-,ENSG00000151276.24:s:65379261-65379554_65375912-65379261,65375912,65379261,65375949,65379260,chr3:65375912-65379261,source,dox_ctrl,non-NMD rescued
DIPK1A,ENSG00000154511.12,ENSG00000154511.12:s:92839054-92839177,0.0155,0.011,2,2,1,chr1,-,ENSG00000154511.12:s:92839054-92839177_92837633-92839054,92837633,92839054,92833035,92839053,chr1:92837633-92839054,source,dox_ctrl,NMD rescued
TYSND1,ENSG00000156521.14,ENSG00000156521.14:t:70137981-70140141,0.0233,0.0181,5,5,1,chr10,-,ENSG00000156521.14:t:70137981-70140141_70140141-70152263,70140141,70152263,70140142,70142667,chr10:70140141-70152263,target,dox_ctrl,non-NMD rescued
LPCAT1,ENSG00000153395.10,ENSG00000153395.10:s:1466749-1466890,0.0055,4e-04,3,3,1,chr5,-,ENSG00000153395.10:s:1466749-1466890_1466348-1466749,1466348,1466749,1466349,1466748,chr5:1466348-1466749,source,dox_ctrl,non-NMD rescued
LPCAT1,ENSG00000153395.10,ENSG00000153395.10:s:1488377-1488451,0.0027,3e-04,3,3,1,chr5,-,ENSG00000153395.10:s:1488377-1488451_1487659-1488391,1487659,1488391,1487660,1488376,chr5:1487659-1488391,source,dox_ctrl,NMD rescued
LPCAT1,ENSG00000153395.10,ENSG00000153395.10:t:1461427-1463835,0.0277,0.0127,4,4,1,chr5,-,ENSG00000153395.10:t:1461427-1463835_1463835-1464267,1463835,1464267,1463836,1464266,chr5:1463835-1464267,target,dox_ctrl,NMD rescued
KCTD15,ENSG00000153885.15,ENSG00000153885.15:s:33798668-33798766,0.0515,0.0137,5,4,1,chr19,+,ENSG00000153885.15:s:33798668-33798766_33798766-33800138,33798766,33800138,33798767,33799488,chr19:33798766-33800138,source,dox_ctrl,non-NMD rescued
KCTD15,ENSG00000153885.15,ENSG00000153885.15:s:33799489-33799718,0.1347,0.0366,3,3,1,chr19,+,ENSG00000153885.15:s:33799489-33799718_33799718-33800138,33799718,33800138,33799719,33800137,chr19:33799718-33800138,source,dox_ctrl,NMD rescued
PRKCA,ENSG00000154229.12,ENSG00000154229.12:s:66688951-66689047,0.0099,0.0051,4,4,1,chr17,+,ENSG00000154229.12:s:66688951-66689047_66689047-66691540,66689047,66691540,66689048,66691539,chr17:66689047-66691540,source,dox_ctrl,NMD rescued
KCTD15,ENSG00000153885.15,ENSG00000153885.15:t:33800428-33800520,0.0511,0.0137,5,4,1,chr19,+,ENSG00000153885.15:t:33800428-33800520_33800186-33800428,33800186,33800428,33800189,33800427,chr19:33800186-33800428,target,dox_ctrl,non-NMD rescued
ROBO3,ENSG00000154134.15,ENSG00000154134.15:s:124877519-124877910,0.2089,0.059,7,5,1,chr11,+,ENSG00000154134.15:s:124877519-124877910_124877752-124878584,124877752,124878584,,,chr11:124877752-124878584,source,dox_ctrl,non-NMD rescued
ZDHHC1,ENSG00000159714.12,ENSG00000159714.12:t:67400957-67401132,0.1456,0.0367,5,4,1,chr16,-,ENSG00000159714.12:t:67400957-67401132_67401065-67416171,67401065,67416171,67401133,67404157,chr16:67401065-67416171,target,dox_ctrl,non-NMD rescued
LRP8,ENSG00000157193.18,ENSG00000157193.18:t:53271227-53271812,0.0517,0.0173,9,6,1,chr1,-,ENSG00000157193.18:t:53271227-53271812_53271346-53274643,53271346,53274643,53271813,53272603,chr1:53271346-53274643,target,dox_ctrl,NMD rescued
VAV2,ENSG00000160293.17,ENSG00000160293.17:s:133834272-133834340,0.0062,7e-04,2,3,1,chr9,-,ENSG00000160293.17:s:133834272-133834340_133833378-133834272,133833378,133834272,,,chr9:133833378-133834272,source,dox_ctrl,NMD rescued
NLRX1,ENSG00000160703.16,ENSG00000160703.16:s:119174453-119175274,0.0387,0.0191,2,3,1,chr11,+,ENSG00000160703.16:s:119174453-119175274_119175274-119175598,119175274,119175598,,,chr11:119175274-119175598,source,dox_ctrl,non-NMD rescued
UBE2J2,ENSG00000160087.21,ENSG00000160087.21:t:1257208-1257310,0.0133,0.0026,9,5,1,chr1,-,ENSG00000160087.21:t:1257208-1257310_1257310-1262166,1257310,1262166,1257311,1261848,chr1:1257310-1262166,target,dox_ctrl,non-NMD rescued
ISL2,ENSG00000159556.10,ENSG00000159556.10:s:76336773-76336941,0.3163,0.0592,2,3,1,chr15,+,ENSG00000159556.10:s:76336773-76336941_76336941-76340276,76336941,76340276,,,chr15:76336941-76340276,source,dox_ctrl,non-NMD rescued
KALRN,ENSG00000160145.16,ENSG00000160145.16:s:124033369-124033813,0.0632,0.0296,3,4,1,chr3,+,ENSG00000160145.16:s:124033369-124033813_124033813-124094103,124033813,124094103,,,chr3:124033813-124094103,source,dox_ctrl,NMD rescued
WDR90,ENSG00000161996.19,ENSG00000161996.19:s:662673-663064,0.0227,0.024,4,3,1,chr16,+,ENSG00000161996.19:s:662673-663064_662844-664866,662844,664866,,,chr16:662844-664866,source,dox_ctrl,non-NMD rescued
GALNT14,ENSG00000158089.15,ENSG00000158089.15:s:30955618-30955684,0.0142,0.0063,4,4,1,chr2,-,ENSG00000158089.15:s:30955618-30955684_30948023-30955618,30948023,30955618,30948024,30955617,chr2:30948023-30955618,source,dox_ctrl,NMD rescued
GALNT14,ENSG00000158089.15,ENSG00000158089.15:t:30945783-30945870,0.017,0.0091,3,3,1,chr2,-,ENSG00000158089.15:t:30945783-30945870_30945870-30947928,30945870,30947928,30945871,30947927,chr2:30945870-30947928,target,dox_ctrl,non-NMD rescued
H2BC5,ENSG00000158373.9,ENSG00000158373.9:t:26170975-26171349,0.0078,0.0029,4,4,1,chr6,+,ENSG00000158373.9:t:26170975-26171349_26163918-26170975,26163918,26170975,26163919,26170974,chr6:26163918-26170975,target,dox_ctrl,NMD rescued
KALRN,ENSG00000160145.16,ENSG00000160145.16:t:124227990-124228064,0.0145,0.0099,5,6,1,chr3,+,ENSG00000160145.16:t:124227990-124228064_124094149-124227990,124094149,124227990,,,chr3:124094149-124227990,target,dox_ctrl,non-NMD rescued
RRP1B,ENSG00000160208.13,ENSG00000160208.13:s:43685770-43686062,0.0056,0.0027,2,2,1,chr21,+,ENSG00000160208.13:s:43685770-43686062_43686062-43686804,43686062,43686804,,,chr21:43686062-43686804,source,dox_ctrl,NMD rescued
RRP1,ENSG00000160214.13,ENSG00000160214.13:s:43791350-43791432,0.0039,2e-04,3,4,1,chr21,+,ENSG00000160214.13:s:43791350-43791432_43791432-43791523,43791432,43791523,,,chr21:43791432-43791523,source,dox_ctrl,NMD rescued
RRP1,ENSG00000160214.13,ENSG00000160214.13:s:43791350-43791432,0.0101,0.0032,3,4,1,chr21,+,ENSG00000160214.13:s:43791350-43791432_43791432-43792383,43791432,43792383,,,chr21:43791432-43792383,source,dox_ctrl,NMD rescued
RRP1,ENSG00000160214.13,ENSG00000160214.13:t:43792672-43792729,0.0085,0.0025,4,4,1,chr21,+,ENSG00000160214.13:t:43792672-43792729_43792574-43792672,43792574,43792672,,,chr21:43792574-43792672,target,dox_ctrl,NMD rescued
CCDC74A,ENSG00000163040.15,ENSG00000163040.15:s:131530579-131530837,0.0512,0.0225,3,2,1,chr2,+,ENSG00000163040.15:s:131530579-131530837_131530827-131531652,131530827,131531652,,,chr2:131530827-131531652,source,dox_ctrl,non-NMD rescued
HDAC11,ENSG00000163517.15,ENSG00000163517.15:t:13504094-13504272,0.0657,0.038,4,5,1,chr3,+,ENSG00000163517.15:t:13504094-13504272_13498555-13504094,13498555,13504094,,,chr3:13498555-13504094,target,dox_ctrl,non-NMD rescued
STARD9,ENSG00000159433.12,ENSG00000159433.12:s:42575606-42575762,0.0623,0.0285,4,4,1,chr15,+,ENSG00000159433.12:s:42575606-42575762_42575762-42585521,42575762,42585521,42575763,42583345,chr15:42575762-42585521,source,dox_ctrl,non-NMD rescued
TPCN2,ENSG00000162341.18,ENSG00000162341.18:s:69081400-69081499,0.0329,0.0227,4,4,1,chr11,+,ENSG00000162341.18:s:69081400-69081499_69081499-69083542,69081499,69083542,69081500,69083541,chr11:69081499-69083542,source,dox_ctrl,NMD rescued
TPCN2,ENSG00000162341.18,ENSG00000162341.18:t:69083945-69084016,0.0196,0.0175,3,3,1,chr11,+,ENSG00000162341.18:t:69083945-69084016_69083658-69083945,69083658,69083945,69083659,69083944,chr11:69083658-69083945,target,dox_ctrl,NMD rescued
USP24,ENSG00000162402.15,ENSG00000162402.15:s:55081322-55081424,0.1348,0.057,2,3,1,chr1,-,ENSG00000162402.15:s:55081322-55081424_55078651-55081322,55078651,55081322,,,chr1:55078651-55081322,source,dox_ctrl,non-NMD rescued
USP24,ENSG00000162402.15,ENSG00000162402.15:t:55078538-55078651,0.1224,0.0524,2,3,1,chr1,-,ENSG00000162402.15:t:55078538-55078651_55078651-55081322,55078651,55081322,,,chr1:55078651-55081322,target,dox_ctrl,NMD rescued
ZSWIM5,ENSG00000162415.7,ENSG00000162415.7:t:45040392-45040538,0.0032,0.003,3,4,1,chr1,-,ENSG00000162415.7:t:45040392-45040538_45040538-45041528,45040538,45041528,,,chr1:45040538-45041528,target,dox_ctrl,NMD rescued
CFAP36,ENSG00000163001.12,ENSG00000163001.12:s:55523721-55523822,0.0304,0.0164,3,3,1,chr2,+,ENSG00000163001.12:s:55523721-55523822_55523822-55533873,55523822,55533873,55523823,55528877,chr2:55523822-55533873,source,dox_ctrl,NMD rescued
SMARCAD1,ENSG00000163104.18,ENSG00000163104.18:s:94226119-94226296,0.0158,0.0117,3,3,1,chr4,+,ENSG00000163104.18:s:94226119-94226296_94226296-94236952,94226296,94236952,94226297,94233953,chr4:94226296-94236952,source,dox_ctrl,non-NMD rescued
CELF5,ENSG00000161082.13,ENSG00000161082.13:s:3278031-3278110,0.3965,0.0905,2,3,1,chr19,+,ENSG00000161082.13:s:3278031-3278110_3278110-3278213,3278110,3278213,,,chr19:3278110-3278213,source,dox_ctrl,NMD rescued
DNAAF5,ENSG00000164818.16,ENSG00000164818.16:t:754589-754821,0.0064,0.0022,6,6,1,chr7,+,ENSG00000164818.16:t:754589-754821_751168-754589,751168,754589,751169,754588,chr7:751168-754589,target,dox_ctrl,NMD rescued
ANKRD23,ENSG00000163126.15,ENSG00000163126.15:t:96833311-96833540,0.0126,0.0102,3,3,1,chr2,-,ENSG00000163126.15:t:96833311-96833540_96833540-96838499,96833540,96838499,96833541,96837911,chr2:96833540-96838499,target,dox_ctrl,NMD rescued
EML5,ENSG00000165521.16,ENSG00000165521.16:t:88622604-88622718,0.0111,0.008,3,3,1,chr14,-,ENSG00000165521.16:t:88622604-88622718_88622718-88626838,88622718,88626838,88622719,88624969,chr14:88622718-88626838,target,dox_ctrl,NMD rescued
ANKZF1,ENSG00000163516.14,ENSG00000163516.14:t:219235645-219235875,0.0163,0.0129,3,3,1,chr2,+,ENSG00000163516.14:t:219235645-219235875_219235293-219235708,219235293,219235708,,,chr2:219235293-219235708,target,dox_ctrl,non-NMD rescued
KIF15,ENSG00000163808.17,ENSG00000163808.17:t:44797551-44797676,0.003,0.0026,3,3,1,chr3,+,ENSG00000163808.17:t:44797551-44797676_44796841-44797551,44796841,44797551,44794427,44797550,chr3:44796841-44797551,target,dox_ctrl,NMD rescued
IFT122,ENSG00000163913.14,ENSG00000163913.14:s:129483485-129483892,0.0965,0.0363,3,3,1,chr3,+,ENSG00000163913.14:s:129483485-129483892_129483682-129483926,129483682,129483926,129483893,129483925,chr3:129483682-129483926,source,dox_ctrl,NMD rescued
IFT122,ENSG00000163913.14,ENSG00000163913.14:t:129488050-129488397,0.012,0.0102,3,4,1,chr3,+,ENSG00000163913.14:t:129488050-129488397_129484032-129488257,129484032,129488257,,,chr3:129484032-129488257,target,dox_ctrl,NMD rescued
GPT2,ENSG00000166123.14,ENSG00000166123.14:t:46906842-46906975,0.1169,0.0203,5,4,1,chr16,+,ENSG00000166123.14:t:46906842-46906975_46900883-46906842,46900883,46906842,46900884,46906841,chr16:46900883-46906842,target,dox_ctrl,non-NMD rescued
RP9,ENSG00000164610.10,ENSG00000164610.10:t:33100531-33100561,0.0011,4e-04,4,4,1,chr7,-,ENSG00000164610.10:t:33100531-33100561_33100561-33103694,33100561,33103694,,,chr7:33100561-33103694,target,dox_ctrl,NMD rescued
FOXK1,ENSG00000164916.11,ENSG00000164916.11:s:4682295-4682868,0.0286,0.0126,3,4,1,chr7,+,ENSG00000164916.11:s:4682295-4682868_4682868-4737318,4682868,4737318,,,chr7:4682868-4737318,source,dox_ctrl,NMD rescued
FOXK1,ENSG00000164916.11,ENSG00000164916.11:t:4740838-4741023,0.0389,0.012,2,3,1,chr7,+,ENSG00000164916.11:t:4740838-4741023_4737421-4740838,4737421,4740838,,,chr7:4737421-4740838,target,dox_ctrl,NMD rescued
ADCY1,ENSG00000164742.16,ENSG00000164742.16:s:45622632-45622743,0.3853,0.0357,2,3,1,chr7,+,ENSG00000164742.16:s:45622632-45622743_45622743-45625299,45622743,45625299,,,chr7:45622743-45625299,source,dox_ctrl,NMD rescued
ADCY1,ENSG00000164742.16,ENSG00000164742.16:t:45648670-45648797,0.1706,0.0285,6,5,1,chr7,+,ENSG00000164742.16:t:45648670-45648797_45625377-45648670,45625377,45648670,,,chr7:45625377-45648670,target,dox_ctrl,NMD rescued
ADCY1,ENSG00000164742.16,ENSG00000164742.16:t:45648670-45648797,0.1304,0.0281,6,5,1,chr7,+,ENSG00000164742.16:t:45648670-45648797_45625430-45648670,45625430,45648670,,,chr7:45625430-45648670,target,dox_ctrl,NMD rescued
ATP9B,ENSG00000166377.21,ENSG00000166377.21:t:79154502-79154555,0.0024,0.0016,3,3,1,chr18,+,ENSG00000166377.21:t:79154502-79154555_79146701-79154504,79146701,79154504,79144287,79154501,chr18:79146701-79154504,target,dox_ctrl,NMD rescued
WNK2,ENSG00000165238.17,ENSG00000165238.17:s:93306637-93306821,0.0211,0.0125,3,3,1,chr9,+,ENSG00000165238.17:s:93306637-93306821_93306821-93307131,93306821,93307131,93306822,93307130,chr9:93306821-93307131,source,dox_ctrl,non-NMD rescued
WNK2,ENSG00000165238.17,ENSG00000165238.17:t:93307131-93307195,0.0538,0.0307,3,3,1,chr9,+,ENSG00000165238.17:t:93307131-93307195_93306821-93307131,93306821,93307131,93306822,93307130,chr9:93306821-93307131,target,dox_ctrl,non-NMD rescued
DUS2,ENSG00000167264.18,ENSG00000167264.18:t:68053564-68054035,0.0156,0.0103,4,4,1,chr16,+,ENSG00000167264.18:t:68053564-68054035_68051533-68053564,68051533,68053564,68051534,68053563,chr16:68051533-68053564,target,dox_ctrl,NMD rescued
INTS1,ENSG00000164880.16,ENSG00000164880.16:s:1483701-1483853,0.0131,0.004,3,2,1,chr7,-,ENSG00000164880.16:s:1483701-1483853_1482707-1483701,1482707,1483701,1482708,1483700,chr7:1482707-1483701,source,dox_ctrl,NMD rescued
INTS1,ENSG00000164880.16,ENSG00000164880.16:s:1483951-1484170,0.0031,0,4,2,1,chr7,-,ENSG00000164880.16:s:1483951-1484170_1483853-1483951,1483853,1483951,,,chr7:1483853-1483951,source,dox_ctrl,NMD rescued
DENND2B,ENSG00000166444.19,ENSG00000166444.19:s:8811247-8811341,0.0567,0.022,5,6,1,chr11,-,ENSG00000166444.19:s:8811247-8811341_8780251-8811247,8780251,8811247,,,chr11:8780251-8811247,source,dox_ctrl,NMD rescued
SRP68,ENSG00000167881.15,ENSG00000167881.15:t:76064038-76064171,3e-04,0,4,4,1,chr17,-,ENSG00000167881.15:t:76064038-76064171_76064171-76064444,76064171,76064444,76064172,76064443,chr17:76064171-76064444,target,dox_ctrl,NMD rescued
VPS37C,ENSG00000167987.11,ENSG00000167987.11:s:61132757-61133337,0.0024,9e-04,2,2,1,chr11,-,ENSG00000167987.11:s:61132757-61133337_61132539-61133131,61132539,61133131,,,chr11:61132539-61133131,source,dox_ctrl,NMD rescued
RBPMS2,ENSG00000166831.9,ENSG00000166831.9:s:64748419-64748567,0.0122,0.0062,3,3,1,chr15,-,ENSG00000166831.9:s:64748419-64748567_64741604-64748419,64741604,64748419,64741605,64748418,chr15:64741604-64748419,source,dox_ctrl,NMD rescued
ANKDD1A,ENSG00000166839.18,ENSG00000166839.18:s:64944652-64944747,0.0061,0.0083,3,3,1,chr15,+,ENSG00000166839.18:s:64944652-64944747_64944747-64944896,64944747,64944896,64944748,64947403,chr15:64944747-64944896,source,dox_ctrl,NMD rescued
CNPY4,ENSG00000166997.8,ENSG00000166997.8:s:100119955-100120399,0.0013,0.001,5,3,1,chr7,+,ENSG00000166997.8:s:100119955-100120399_100120313-100121161,100120313,100121161,100120400,100121160,chr7:100120313-100121161,source,dox_ctrl,NMD rescued
REEP3,ENSG00000165476.14,ENSG00000165476.14:s:63610187-63610334,0.0045,0.0039,3,3,1,chr10,+,ENSG00000165476.14:s:63610187-63610334_63610334-63614354,63610334,63614354,63610335,63619654,chr10:63610334-63614354,source,dox_ctrl,NMD rescued
TMEM63C,ENSG00000165548.11,ENSG00000165548.11:t:77213446-77213630,0.0527,0.0289,5,4,1,chr14,+,ENSG00000165548.11:t:77213446-77213630_77181897-77213449,77181897,77213449,,,chr14:77181897-77213449,target,dox_ctrl,non-NMD rescued
ACSF2,ENSG00000167107.13,ENSG00000167107.13:s:50461633-50461686,0.3325,0.0431,2,3,1,chr17,+,ENSG00000167107.13:s:50461633-50461686_50461686-50461820,50461686,50461820,,,chr17:50461686-50461820,source,dox_ctrl,non-NMD rescued
ACSF2,ENSG00000167107.13,ENSG00000167107.13:t:50462184-50462317,0.3789,0.0446,2,3,1,chr17,+,ENSG00000167107.13:t:50462184-50462317_50461885-50462184,50461885,50462184,,,chr17:50461885-50462184,target,dox_ctrl,non-NMD rescued
FBXO22,ENSG00000167196.14,ENSG00000167196.14:t:75929884-75930847,0.0063,0.0024,4,4,1,chr15,+,ENSG00000167196.14:t:75929884-75930847_75904629-75929884,75904629,75929884,75917395,75929883,chr15:75904629-75929884,target,dox_ctrl,NMD rescued
GNG8,ENSG00000167414.5,ENSG00000167414.5:s:46636050-46636202,0.342,0.0416,4,3,1,chr19,-,ENSG00000167414.5:s:46636050-46636202_46634725-46636050,46634725,46636050,46635095,46636049,chr19:46634725-46636050,source,dox_ctrl,non-NMD rescued
GNG8,ENSG00000167414.5,ENSG00000167414.5:t:46634599-46634725,0.345,0.043,5,4,1,chr19,-,ENSG00000167414.5:t:46634599-46634725_46634725-46636050,46634725,46636050,46634726,46635023,chr19:46634725-46636050,target,dox_ctrl,non-NMD rescued
CORO6,ENSG00000167549.19,ENSG00000167549.19:s:29618790-29618971,0.0011,0.0048,7,7,1,chr17,-,ENSG00000167549.19:s:29618790-29618971_29617340-29618790,29617340,29618790,29618633,29618789,chr17:29617340-29618790,source,dox_ctrl,NMD rescued
CORO6,ENSG00000167549.19,ENSG00000167549.19:t:29617242-29617340,0.0014,0.0026,4,4,1,chr17,-,ENSG00000167549.19:t:29617242-29617340_29617340-29618790,29617340,29618790,29617341,29617477,chr17:29617340-29618790,target,dox_ctrl,NMD rescued
TUB,ENSG00000166402.9,ENSG00000166402.9:s:8097228-8097425,0.0126,0.0033,3,2,1,chr11,+,ENSG00000166402.9:s:8097228-8097425_8097425-8097584,8097425,8097584,8097426,8097583,chr11:8097425-8097584,source,dox_ctrl,NMD rescued
RNF169,ENSG00000166439.6,ENSG00000166439.6:s:74748849-74749525,0.0117,0.0105,2,2,1,chr11,+,ENSG00000166439.6:s:74748849-74749525_74749525-74789626,74749525,74789626,,,chr11:74749525-74789626,source,dox_ctrl,NMD rescued
ZSCAN21,ENSG00000166529.16,ENSG00000166529.16:t:100063788-100063979,0.0013,4e-04,3,3,1,chr7,+,ENSG00000166529.16:t:100063788-100063979_100058298-100063788,100058298,100063788,100057891,100063787,chr7:100058298-100063788,target,dox_ctrl,NMD rescued
HDGFL2,ENSG00000167674.15,ENSG00000167674.15:s:4491764-4491835,0.3137,0.0257,4,3,1,chr19,+,ENSG00000167674.15:s:4491764-4491835_4491835-4492015,4491835,4492015,,,chr19:4491835-4492015,source,dox_ctrl,non-NMD rescued
HDGFL2,ENSG00000167674.15,ENSG00000167674.15:t:4493703-4493862,0.3404,0.0291,4,3,1,chr19,+,ENSG00000167674.15:t:4493703-4493862_4492152-4493703,4492152,4493703,,,chr19:4492152-4493703,target,dox_ctrl,non-NMD rescued
TRAPPC9,ENSG00000167632.18,ENSG00000167632.18:t:140290993-140291251,0.0641,0.0206,3,3,1,chr8,-,ENSG00000167632.18:t:140290993-140291251_140291078-140297119,140291078,140297119,140291252,140300468,chr8:140291078-140297119,target,dox_ctrl,non-NMD rescued
CHAF1A,ENSG00000167670.16,ENSG00000167670.16:t:4418020-4418076,0.0431,0.0136,5,5,1,chr19,+,ENSG00000167670.16:t:4418020-4418076_4410523-4418020,4410523,4418020,4410524,4418019,chr19:4410523-4418020,target,dox_ctrl,non-NMD rescued
MGAT5B,ENSG00000167889.13,ENSG00000167889.13:s:76933288-76933297,0.2473,0.0673,3,3,1,chr17,+,ENSG00000167889.13:s:76933288-76933297_76933297-76937229,76933297,76937229,76933298,76937228,chr17:76933297-76937229,source,dox_ctrl,NMD rescued
MGAT5B,ENSG00000167889.13,ENSG00000167889.13:t:76937988-76938143,0.2994,0.0559,6,6,1,chr17,+,ENSG00000167889.13:t:76937988-76938143_76937368-76937988,76937368,76937988,76937369,76937987,chr17:76937368-76937988,target,dox_ctrl,NMD rescued
WDR81,ENSG00000167716.19,ENSG00000167716.19:s:1732666-1732977,0.0469,0.0284,2,2,1,chr17,+,ENSG00000167716.19:s:1732666-1732977_1732776-1733527,1732776,1733527,,,chr17:1732776-1733527,source,dox_ctrl,non-NMD rescued
ATG4B,ENSG00000168397.17,ENSG00000168397.17:s:241668259-241668860,0.202,0.0354,4,4,1,chr2,+,ENSG00000168397.17:s:241668259-241668860_241668685-241668875,241668685,241668875,241668861,241668874,chr2:241668685-241668875,source,dox_ctrl,non-NMD rescued
ATG4B,ENSG00000168397.17,ENSG00000168397.17:s:241668875-241668985,0.5306,0.0449,2,2,1,chr2,+,ENSG00000168397.17:s:241668875-241668985_241668985-241670726,241668985,241670726,241668986,241669693,chr2:241668985-241670726,source,dox_ctrl,NMD rescued
ATG4B,ENSG00000168397.17,ENSG00000168397.17:t:241670561-241670782,0.3865,0.0361,5,5,1,chr2,+,ENSG00000168397.17:t:241670561-241670782_241668985-241670726,241668985,241670726,241669863,241670560,chr2:241668985-241670726,target,dox_ctrl,NMD rescued
TMEM223,ENSG00000168569.8,ENSG00000168569.8:t:62787509-62787925,0.0539,0.0192,3,2,1,chr11,-,ENSG00000168569.8:t:62787509-62787925_62787883-62791679,62787883,62791679,62787926,62789970,chr11:62787883-62791679,target,dox_ctrl,non-NMD rescued
ALK,ENSG00000171094.18,ENSG00000171094.18:s:29228741-29229066,0.0306,0.0206,5,4,1,chr2,-,ENSG00000171094.18:s:29228741-29229066_29227074-29228958,29227074,29228958,29227673,29228740,chr2:29227074-29228958,source,dox_ctrl,non-NMD rescued
SETD5,ENSG00000168137.20,ENSG00000168137.20:t:9470459-9470929,0.0908,0.0199,5,4,1,chr3,+,ENSG00000168137.20:t:9470459-9470929_9468615-9470459,9468615,9470459,9468616,9470458,chr3:9468615-9470459,target,dox_ctrl,NMD rescued
GNG12,ENSG00000172380.6,ENSG00000172380.6:s:67777138-67777507,0.0202,0.0125,2,3,1,chr1,-,ENSG00000172380.6:s:67777138-67777507_67740876-67777458,67740876,67777458,,,chr1:67740876-67777458,source,dox_ctrl,NMD rescued
UPF3A,ENSG00000169062.15,ENSG00000169062.15:t:114291605-114291792,0.0022,0.0014,3,3,1,chr13,+,ENSG00000169062.15:t:114291605-114291792_114286629-114291634,114286629,114291634,,,chr13:114286629-114291634,target,dox_ctrl,NMD rescued
ASMTL,ENSG00000169093.16_PAR_Y,ENSG00000169093.16_PAR_Y:s:1452748-1452929,0.0154,0.0129,4,4,1,chrY,-,ENSG00000169093.16_PAR_Y:s:1452748-1452929_1448883-1452748,1448883,1452748,1442318,1452747,chrY:1448883-1452748,source,dox_ctrl,NMD rescued
ASMTL,ENSG00000169093.16_PAR_Y,ENSG00000169093.16_PAR_Y:s:1452748-1452929,0.0321,0.0213,4,4,1,chrY,-,ENSG00000169093.16_PAR_Y:s:1452748-1452929_1448731-1452748,1448731,1452748,1442318,1452747,chrY:1448731-1452748,source,dox_ctrl,NMD rescued
