gene,paste_into_igv_junction,paste_into_igv_junction_annotated,strand,junc_cat,junc_in_ref,cryptic,junction_for_clustering,ID_exon,last_exon,dox0_sh,dox0125,dox0187,dox021,dox025,dox075,tdp43_sensitivity_sh,max_psi_sh,dox0_be2,dox002,dox003,dox004,dox005,dox0075,dox01,dox1,tdp43_sensitivity_be2,max_psi_be2,UMAP_1_together,UMAP_2_together,cluster_together,UMAP_1_sh,UMAP_2_sh,cluster_sh,UMAP_1_be2,UMAP_2_be2,cluster_be2,score_cryptic,score_ann,phastCons_alt,phastCons_unchanged,longest_ug_region,dist_nearest_ug_region,width
CASK,chrX:41553915-41555600,chrX:41553915-41557032,-,donor,TRUE,no,no,75,FALSE,0.293,0.293,0.419,0.419,0.419,0.595,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,1,1,0,,3117
CASK,chrX:41555635-41559779,chrX:41555635-41559779,-,exon_skip,TRUE,no,yes,75,FALSE,0.184,0.184,0.184,0.184,0.184,0.53,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,4144
CBARP,chr19:1235342-1235501,chr19:1235145-1235501,-,acceptor,TRUE,no,yes,76,FALSE,0.114,0.244,0.48,0.609,0.615,0.663,Early,Top,0.029,0.246,0.545,0.6,0.608,0.764,0.764,0.764,Early,Top,,,,,,,,,,,,0.764399996,0.626399997,16,30,356
CCDC188,chr22:20149640-20149955,chr22:20149640-20149724,-,donor,FALSE,yes,yes,77,FALSE,0.041,0.205,0.205,0.205,0.246,0.351,Early,Medium,,,,,,,,,,,-2.260009664,-6.595173514,7,2.715901073,0.695412323,2,,,,,,0.597099996,0.926199996,16,134,84
CCDC33,chr15:74209534-74243985,chr15:74209534-74218497,+,acceptor,FALSE,no,yes,78,FALSE,0.046,0.149,0.231,0.256,0.256,0.309,Early,Bottom,,,,,,,,,,,,,,,,,,,,,,0.0274,0.058,0,,
CCDC33,chr15:74212277-74243985,chr15:74212277-74218497,+,acceptor,FALSE,no,yes,79,FALSE,0.043,0.067,0.042,0.196,0.224,0.353,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,0.0274,0.268000004,0,,6220
CCDC57,chr17:82178605-82179027,chr17:82178605-82183774,-,donor,TRUE,no,yes,80,FALSE,0.579,0.579,0.893,0.893,0.893,0.957,Early,Medium,,,,,,,,,,,,,,,,,,,,,,0.0221,0.942400008,0,,
CDH24,chr14:23052083-23052473,chr14:23049943-23052473,-,acceptor,TRUE,no,no,81,FALSE,,,,,,,Early,,0.059,0.123,0.219,0.299,0.294,0.327,0.334,0.324,Early,Bottom,,,,,,,,,,,,0.0536,0.972000009,0,,2530
CDH24,chr14:23050140-23051969,chr14:23049943-23052473,-,donor,FALSE,no,yes,81,FALSE,0.267,0.562,0.801,0.935,0.91,0.899,Early,Top,,,,,,,,,Early,,,,,,,,,,,,,0.0843,0.0044,0,,2530
CDIP1,chr16:4514664-4538325,chr16:4514664-4538702,-,donor,TRUE,no,yes,82,FALSE,0.347,0.347,0.496,0.496,0.496,0.719,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,0.0982,0.0248,0,,24038
CDK5RAP2,chr9:120404113-120408347,chr9:120404113-120408347,-,exon_skip,TRUE,no,yes,83,FALSE,0.378,0.378,0.838,0.855,0.863,0.9,Early,Top,0.209,0.541,0.768,0.854,0.887,0.882,0.885,0.893,Early,Top,,,,,,,,,,,,,,,,4234
CDK7,chr5:69261458-69262205,chr5:69259936-69262205,+,donor,FALSE,yes,yes,84,FALSE,0.001,0.001,0.001,0.001,0.001,0.224,Late,Bottom,0,0,0,0,0,0,0,0.212,Late,Bottom,1.511519116,1.705832499,5,-1.760974604,-4.907280333,1,3.621166264,-5.135592987,5,,,0.284300005,0.995300013,60,30,2269
CDKAL1,chr6:21200892-21201110,chr6:21198104-21201110,+,donor,TRUE,no,yes,85,FALSE,0.584,0.584,0.584,0.584,0.584,0.855,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.0335,0.924599993,0,,3006
CDO1,chr5:115813954-115816228,chr5:115813258-115816228,-,acceptor,TRUE,yes,yes,86,FALSE,0.002,0.002,0.394,0.346,0.513,0.513,Early,Top,,,,,,,,,,,-6.459370619,-7.412322763,1,1.417688335,3.863309241,4,,,,,,0.0038,0.999700004,32,54,2970
CDO1,chr5:115813258-115813898,chr5:115813258-115816228,-,donor,TRUE,yes,no,86,FALSE,0.002,0.002,0.419,0.419,0.441,0.422,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.0206,0.903799999,32,2,2970
CELF5,chr19:3286025-3286224,chr19:3286025-3290231,+,acceptor,TRUE,yes,yes,88,FALSE,0.004,0.004,0.004,0.004,0.004,0.473,Late,Top,,,,,,,,,,,4.94141317,-3.134692262,2,-3.091869758,-2.098010045,1,,,,,,0.0099,0.99830001,0,,4206
CELSR3,chr3:48650289-48650480,chr3:48649215-48650480,-,acceptor,FALSE,no,no,89,FALSE,0.292,0.292,0.704,0.783,0.899,0.997,Early,Top,0.093,0.093,0.3,0.349,0.418,0.418,0.546,0.639,Early,Top,,,,,,,,,,,,0.999800003,0.992499983,0,,1265
CELSR3,chr3:48649215-48650275,chr3:48649215-48650480,-,donor,FALSE,no,yes,89,FALSE,0.278,0.278,0.687,0.766,0.888,0.995,Early,Top,0.129,0.129,0.129,0.129,0.363,0.363,0.478,0.628,Early,Top,,,,,,,,,,,,0.999400008,0.995800012,0,,1265
CENATAC,chr11:119011311-119011939,chr11:119011283-119011939,+,donor,TRUE,no,yes,90,FALSE,0.305,0.305,0.305,0.305,0.305,0.811,Late,Top,,,,,,,,,,,,,,,,,,,,,,0.980199999,0.9986,0,,656
CEP170B,chr14:104865513-104876256,chr14:104865513-104876256,+,exon_skip,TRUE,yes,yes,91,FALSE,,,,,,,,,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.305,Late,Bottom,2.04538746,1.973770825,5,,,,3.734561963,-5.643468351,5,,,,,,,10743
CEP290,chr12:88086742-88087780,chr12:88086498-88087780,-,acceptor,FALSE,yes,yes,92,FALSE,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.093,0.091,0.169,Late,Bottom,1.223981022,2.838564725,5,,,,2.788304063,-4.080696667,3,,,0.0231,0.980399996,0,,1282
CEP290,chr12:88086789-88087780,chr12:88086498-88087780,-,acceptor,FALSE,yes,yes,93,FALSE,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.338,0.535,0.618,Late,Top,-0.655617281,3.419596693,4,,,,-1.941547151,-1.794223835,2,,,0.0072,0.980399996,0,,1282
CEP44,chr4:174316290-174316530,chr4:174316290-174331482,+,acceptor,TRUE,no,no,94,FALSE,0.607,0.607,0.778,0.783,0.794,0.856,Early,Bottom,,,,,,,,,,,,,,,,,,,,,,0.995700002,0.875800002,16,110,15192
CEP44,chr4:174316567-174317335,chr4:174316290-174331482,+,donor,TRUE,no,yes,94,FALSE,0.566,0.566,0.755,0.713,0.781,0.824,Early,Bottom,,,,,,,,,,,,,,,,,,,,,,1,0.999300009,16,74,15192
CEP72,chr5:647916-648100,chr5:647916-652988,+,acceptor,FALSE,yes,no,95,FALSE,,,,,,,Early,,0.023,0.6,0.927,0.881,0.912,0.912,0.912,0.912,Early,Top,,,,,,,,,,,,0.0071,0.99830001,16,138,5072
CEP72,chr5:648223-652988,chr5:647916-652988,+,donor,FALSE,yes,yes,95,FALSE,0.003,0.192,0.403,0.469,0.469,0.611,Early,Top,0.043,0.367,0.66,0.665,0.633,0.633,0.609,0.609,Early,Top,-4.443622736,2.47893508,3,1.673034884,3.965882329,4,-1.318944223,5.383552595,1,,,0.015,0.689900005,16,130,5072
CERS6,chr2:168766345-168769510,chr2:168765748-168769510,+,donor,TRUE,no,yes,96,FALSE,0.559,0.559,0.559,0.559,0.559,0.785,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.998100007,0.999500006,0,,3762
CHGB,chr20:5912706-5914618,chr20:5911682-5914618,+,donor,FALSE,yes,yes,97,FALSE,,,,,,,,,0.002,0.002,0.002,0.002,0.083,0.19,0.168,0.202,Late,Bottom,0.802739547,3.152767293,5,,,,2.241844201,-3.024779426,3,,,0.162599999,0.702100003,44,38,2936
CHGB,chr20:5912706-5916326,chr20:5911682-5916326,+,donor,FALSE,yes,yes,98,FALSE,,,,,,,,,0.006,0.006,0.006,0.006,0.006,0.166,0.143,0.211,Late,Bottom,0.992518028,3.003155413,5,,,,2.278526572,-3.465323402,3,,,0.162599999,0.913600004,44,38,4644
CHID1,chr11:900980-902148,chr11:900980-902198,-,donor,TRUE,yes,yes,99,FALSE,,,,,,,,,0.017,0.017,0.017,0.017,0.017,0.297,0.364,0.379,Late,Medium,0.73438447,3.23687799,5,,,,-1.324247931,-1.967183439,2,,,0.0033,0.698400009,24,122,1218
CHRNB1,chr17:7446113-7446398,chr17:7446113-7446833,+,acceptor,TRUE,yes,yes,100,FALSE,0.01,0.01,0.01,0.01,0.17,0.339,Intermediate,Medium,,,,,,,,,,,5.354869843,-5.139132934,6,-0.59365147,-1.665957332,5,,,,,,0.0327,0.998200011,80,18,720
CLASP1,chr2:121445496-121447337,chr2:121430177-121447337,-,acceptor,TRUE,no,yes,101,FALSE,0.107,0.107,0.107,0.107,0.226,0.407,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,0.999800003,0.989999998,0,,17160
CLASP1,chr2:121427430-121430073,chr2:121425306-121430073,-,acceptor,TRUE,no,no,102,FALSE,,,,,,,Intermediate,,0.455,0.455,0.455,0.455,0.455,0.455,0.7,0.761,Late,Medium,,,,,,,,,,,,1,0.998800009,20,54,4767
CLASP1,chr2:121425306-121427404,chr2:121425306-121430073,-,donor,TRUE,no,yes,102,FALSE,,,,,,,Intermediate,,0.45,0.45,0.45,0.45,0.45,0.45,0.694,0.766,Late,Medium,,,,,,,,,,,,1,0.999900001,24,30,4767
CLASP1,chr2:121430177-121444939,chr2:121430177-121447337,-,donor,TRUE,no,no,102,FALSE,0.1,0.1,0.1,0.1,0.202,0.381,Intermediate,Medium,,,,,,,,,Late,,,,,,,,,,,,,0.995699996,0.991400009,0,,17160
CLASP2,chr3:33574496-33576169,chr3:33573354-33576169,-,acceptor,TRUE,no,no,103,FALSE,0.206,0.206,0.206,0.206,0.206,0.466,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.999800003,0.983199996,0,,2815
CLASP2,chr3:33573354-33574473,chr3:33573354-33576169,-,donor,TRUE,no,yes,103,FALSE,0.185,0.185,0.185,0.185,0.185,0.445,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.992799997,0.968000001,0,,2815
CLASP2,chr3:33644903-33658974,chr3:33644903-33663445,-,donor,TRUE,no,yes,104,FALSE,0.157,0.157,0.157,0.157,0.157,0.5,Late,Medium,,,,,,,,,,,,,,,,,,,,,,0.999500006,1,16,118,18542
CLDN11,chr3:170423327-170432279,chr3:170423327-170432524,+,acceptor,FALSE,yes,yes,105,FALSE,,,,,,,,,0.018,0.018,0.018,0.018,0.359,0.521,0.618,0.618,Intermediate,Top,-1.359635571,9.687358219,9,,,,-2.205169632,-0.387579879,2,,,0.0039,0.980100006,16,118,9197
CLIP1,chr12:122334705-122336632,chr12:122334705-122340981,-,donor,TRUE,no,yes,106,FALSE,,,,,,,,,0.658,0.658,0.946,0.943,0.956,0.963,0.973,0.981,Early,Medium,,,,,,,,,,,,1,0.99830001,0,,6276
COL22A1,chr8:138878316-138913619,chr8:138878316-138913619,-,exon_skip,,no,yes,107,FALSE,,,,,,,,,0.084,0.084,0.084,0.312,0.422,0.419,0.437,0.545,Early,Top,,,,,,,,,,,,,,,,35303
CORO7-PAM16,chr16:4367442-4387986,chr16:4365545-4387986,-,acceptor,FALSE,yes,yes,108,FALSE,0.002,0.002,0.232,0.232,0.308,0.308,Early,Medium,,,,,,,,,,,-6.904833564,-8.237836241,1,1.820599847,1.977782596,2,,,,,,0.0034,0.9148,16,126,22441
CSTF2,chrX:100828102-100830808,chrX:100828102-100831515,+,acceptor,TRUE,no,yes,109,FALSE,0.37,0.37,0.37,0.37,0.37,0.778,Late,Top,,,,,,,,,,,,,,,,,,,,,,0.998900008,0.984900004,20,86,3413
CSTF2,chrX:100830867-100831515,chrX:100830867-100831515,+,exon_skip,TRUE,no,no,109,FALSE,0.275,0.275,0.275,0.275,0.275,0.576,Late,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,648
CTNND1,chr11:57806035-57806461,chr11:57806035-57806915,+,acceptor,TRUE,no,yes,110,FALSE,0.436,0.436,0.436,0.436,0.549,0.68,Intermediate,Bottom,,,,,,,,,,,,,,,,,,,,,,1,0.999599999,0,,880
DCAF1,chr3:51483836-51499873,chr3:51483836-51499873,-,exon_skip,TRUE,no,yes,111,FALSE,0.377,0.377,0.377,0.377,0.576,0.762,Intermediate,Top,,,,,,,,,,,,,,,,,,,,,,,,,,16037
DCTN1,chr2:74363628-74365075,chr2:74363427-74365075,-,acceptor,TRUE,no,yes,112,FALSE,0.602,0.602,0.602,0.602,0.602,0.846,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.994800001,0.995999986,16,62,1648
DCTN1,chr2:74363427-74363614,chr2:74363427-74365075,-,donor,TRUE,no,no,112,FALSE,0.606,0.606,0.606,0.606,0.606,0.849,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.99550001,0.0782,0,,1648
DDR1,chr6:30884710-30885625,chr6:30884710-30888688,+,acceptor,TRUE,no,yes,113,FALSE,0.64,0.64,0.894,0.989,0.983,0.994,Early,Medium,,,,,,,,,,,,,,,,,,,,,,0.0126,0.933899999,20,138,3978
DDR1,chr6:30885680-30888688,chr6:30884710-30888688,+,donor,TRUE,no,no,113,FALSE,0.642,0.642,0.934,0.989,0.982,0.986,Early,Medium,,,,,,,,,,,,,,,,,,,,,,0.0052,0.789999992,20,134,3978
DENND1B,chr1:197560874-197583152,chr1:197553112-197583152,-,acceptor,FALSE,yes,yes,114,FALSE,,,,,,,,,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.291,Late,Bottom,2.060993895,1.975784784,5,,,,3.651895195,-5.746889941,5,,,0.1087,0.994499987,0,,30040
DENND2B,chr11:8780251-8811247,chr11:8750725-8811247,-,acceptor,FALSE,yes,no,116,FALSE,,,,,,,,,0.001,0.001,0.001,0.177,0.231,0.267,0.267,0.282,Early,Medium,-0.223101562,9.508603201,9,,,,0.585471289,-0.394236213,4,7.25,10.22,0.0029,0.901700002,16,82,60522
DENND2B,chr11:8750725-8776192,chr11:8750725-8811247,-,donor,TRUE,yes,yes,115,FALSE,0.008,0.008,0.069,0.138,0.306,0.378,Intermediate,Medium,0.008,0.008,0.098,0.189,0.286,0.293,0.274,0.319,Early,Medium,-2.573076883,3.552679525,4,-0.090370514,0.112023849,5,0.489955316,0.200446528,4,,,0.057299999,0.991700006,36,54,60522
DENND2B,chr11:8750725-8780133,chr11:8750725-8811247,-,donor,FALSE,yes,yes,116,FALSE,,,,,,,,,0.008,0.008,0.11,0.138,0.232,0.186,0.221,0.222,Early,Bottom,0.202008242,9.53926045,9,,,,1.404776728,-1.483648101,0,8.59,8.33,0.027000001,0.991700006,0,,60522
DENND6B,chr22:50316712-50317293,chr22:50316475-50317293,-,acceptor,TRUE,yes,yes,117,FALSE,,,,,,,,,0.04,0.04,0.04,0.331,0.287,0.451,0.446,0.439,Early,Medium,-1.243839181,9.408053092,9,,,,-1.017798864,1.100206969,4,,,0.0121,0.998000002,0,,818
DGKI,chr7:137487689-137493783,chr7:137487689-137521866,-,donor,TRUE,yes,yes,118,FALSE,0.044,0.044,0.044,0.044,0.044,0.459,Late,Top,,,,,,,,,,,4.808872532,-3.185005064,2,-2.767886326,-1.957909233,1,,,,,,0.747799993,0.977599996,0,,34177
DLC1,chr8:13585926-13604537,chr8:13500196-13604537,-,acceptor,FALSE,no,yes,119,FALSE,,,,,,,,,0.064,0.064,0.064,0.064,0.064,0.246,0.292,0.448,Late,Medium,,,,,,,,,,,,0.0157,0.574599996,0,,104341
DLG5,chr10:77793235-77794008,chr10:77792543-77794008,-,acceptor,FALSE,yes,yes,120,FALSE,0.006,0.006,0.006,0.006,0.065,0.208,Late,Bottom,0,0,0,0.071,0.098,0.148,0.128,0.192,Intermediate,Bottom,0.165911475,2.947873497,5,-1.15634274,-4.731453714,1,2.265329562,-3.08708195,3,7.85,10.28,0.0087,0.996200007,40,18,1465
DLG5,chr10:77792543-77793165,chr10:77792543-77794008,-,donor,FALSE,yes,no,120,FALSE,0.002,0.002,0.002,0.002,0.054,0.198,Late,Bottom,0,0,0,0.059,0.078,0.125,0.136,0.194,Intermediate,Bottom,,,,,,,,,,10.22,5.99,0.0034,0.822899997,36,90,1465
DNAAF5,chr7:769205-770471,chr7:763974-770471,+,donor,TRUE,no,yes,121,FALSE,0.606,0.606,0.606,0.606,0.606,0.863,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.0209,0.0197,0,,6497
DNAAF9,chr20:3344699-3348525,chr20:3343731-3348525,-,acceptor,FALSE,yes,no,122,FALSE,,,,,,,,,0.002,0.002,0.002,0.002,0.002,0.179,0.283,0.28,Late,Medium,,,,,,,,,,10.24,9.81,0.6486,0.999900001,72,54,4794
DNAAF9,chr20:3343731-3344641,chr20:3343731-3348525,-,donor,FALSE,yes,yes,122,FALSE,,,,,,,,,0.002,0.002,0.002,0.002,0.002,0.002,0.218,0.238,Late,Bottom,1.232085166,2.828406814,5,,,,2.630039955,-3.96152647,3,6.14,4.13,0.0049,0.999400008,68,2,4794
DNAJC5,chr20:63931022-63931109,chr20:63931022-63931465,+,acceptor,TRUE,no,yes,123,FALSE,0.25,0.25,0.523,0.513,0.513,0.678,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.999900001,0.996399999,20,46,443
DNAJC5,chr20:63931182-63931465,chr20:63931022-63931465,+,donor,TRUE,no,no,123,FALSE,0.218,0.218,0.46,0.466,0.492,0.616,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.998899996,0.999900001,24,34,443
DNM1,chr9:128250940-128253047,chr9:128250940-128253101,+,acceptor,FALSE,yes,no,124,FALSE,0.004,0.004,0.092,0.066,0.087,0.17,Early,Bottom,,,,,,,,,,,,,,,,,,,,11.09,10.67,0.491100001,0.999800003,24,6,2161
DNM1,chr9:128253137-128254006,chr9:128250940-128254006,+,donor,TRUE,no,yes,124,FALSE,0.2,0.2,0.526,0.551,0.564,0.564,Early,Medium,,,,,,,,,,,,,,,,,,,,8.6,7.06,0.994899994,1,24,98,3066
DNM1L,chr12:32737161-32737865,chr12:32737161-32738264,+,acceptor,TRUE,no,yes,125,FALSE,0.315,0.315,0.315,0.315,0.315,0.573,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.999900001,0.993100005,0,,1103
DNMT3A,chr2:25237276-25239130,chr2:25237005-25239130,-,acceptor,FALSE,yes,yes,126,FALSE,0,0,0.051,0.078,0.145,0.175,Intermediate,Bottom,0,0,0,0,0.137,0.174,0.195,0.228,Intermediate,Bottom,0.157692984,3.015012563,5,0.070252445,-2.190720473,5,2.074498255,-2.874907498,3,11.67,8.08,0.0537,0.998500013,24,130,2125
DNMT3A,chr2:25237005-25237139,chr2:25237005-25239130,-,donor,FALSE,yes,no,126,FALSE,0,0,0.08,0.064,0.107,0.15,Intermediate,Bottom,0.001,0.001,0.001,0.001,0.172,0.201,0.171,0.199,Intermediate,Bottom,,,,,,,,,,0.78,9.73,0.0124,0.997500002,24,2,2125
DOCK1,chr10:127381368-127381953,chr10:127381368-127384790,+,acceptor,FALSE,yes,no,127,FALSE,0.002,0.002,0.002,0.156,0.144,0.387,Early,Top,,,,,,,,,,,,,,,,,,,,8.84,8.99,0.576399998,0.981299996,0,,3422
DOCK1,chr10:127257429-127272011,chr10:127257429-127339006,+,acceptor,TRUE,no,yes,128,FALSE,,,,,,,,,0.099,0.099,0.099,0.413,0.404,0.51,0.51,0.623,Early,Top,,,,,,,,,,,,0.0162,0.998900008,16,2,81577
DOCK1,chr10:127382041-127384790,chr10:127381368-127384790,+,donor,FALSE,yes,yes,127,FALSE,0.002,0.002,0.228,0.228,0.228,0.476,Early,Top,,,,,,,,,,,-6.675072072,-8.485299237,1,1.624853793,1.39732933,2,,,,9.14,6.33,0.0044,0.987099999,0,,3422
DOCK7,chr1:62487412-62488934,chr1:62477834-62488934,-,acceptor,TRUE,no,yes,129,FALSE,0.46,0.46,0.46,0.46,0.46,0.783,Late,Medium,,,,,,,,,,,,,,,,,,,,,,0.998600012,0.922200006,0,,11100
DOCK7,chr1:62477825-62487398,chr1:62477834-62488934,-,donor,TRUE,no,no,129,FALSE,0.464,0.464,0.464,0.464,0.464,0.786,Late,Medium,,,,,,,,,,,,,,,,,,,,,,0.999500006,1,0,,11100
DOCK7,chr1:62543745-62552732,chr1:62543745-62552732,-,exon_skip,TRUE,no,yes,130,FALSE,,,,,,,,,0.402,0.402,0.402,0.402,0.606,0.606,0.665,0.679,Intermediate,Bottom,,,,,,,,,,,,,,,,8987
DPY19L2,chr12:63621337-63624040,chr12:63621337-63626469,-,donor,TRUE,no,yes,131,FALSE,,,,,,,,,0.405,0.405,0.654,0.654,0.698,0.714,0.714,0.747,Early,Medium,,,,,,,,,,,,0.480000002,0.113900001,16,70,5132
DRAM2,chr1:111119959-111120516,chr1:111119959-111120531,-,donor,TRUE,no,yes,132,FALSE,0.606,0.606,0.733,0.738,0.72,0.885,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,0.997399998,0.999000007,0,,572
DST,chr6:56529774-56529974,chr6:56528925-56529974,-,acceptor,TRUE,no,yes,133,FALSE,,,,,,,,,0.527,0.527,0.85,0.911,0.897,0.924,0.904,0.918,Early,Medium,,,,,,,,,,,,0.96590001,0.994300002,0,,1049
DST,chr6:56463156-56463565,chr6:56460254-56463565,-,acceptor,TRUE,no,no,134,FALSE,,,,,,,,,0.56,0.56,0.81,0.85,0.814,0.793,0.766,0.805,Early,Bottom,,,,,,,,,,,,0.996600002,0.983499998,0,,3311
DST,chr6:56528925-56529448,chr6:56528925-56529974,-,donor,TRUE,no,yes,133,FALSE,,,,,,,,,0.487,0.487,0.788,0.873,0.857,0.882,0.875,0.884,Early,Medium,,,,,,,,,,,,0.994799995,0.9977,0,,1049
DTNB,chr2:25419535-25427535,chr2:25388361-25427535,-,acceptor,TRUE,no,yes,135,FALSE,,,,,,,,,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.551,Intermediate,Medium,,,,,,,,,,,,0.995700002,0.99600001,20,62,39174
DTNB,chr2:25388361-25419515,chr2:25388361-25427535,-,donor,TRUE,no,no,135,FALSE,,,,,,,,,0.245,0.245,0.245,0.245,0.471,0.471,0.471,0.545,Intermediate,Medium,,,,,,,,,,,,0.99920001,0.989700001,20,82,39174
DYNC1I1,chr7:96039421-96041462,chr7:96039421-96076057,+,acceptor,FALSE,yes,yes,136,FALSE,0.004,0.004,0.141,0.141,0.141,0.333,Intermediate,Medium,,,,,,,,,,,0.684378827,-5.580337386,8,1.083344364,-0.713815016,5,,,,,,0.200300001,0.9889,16,118,36636
DYNC1I1,chr7:96061328-96076057,chr7:96039421-96076057,+,donor,FALSE,yes,yes,137,FALSE,0.006,0.006,0.006,0.006,0.006,0.358,Late,Medium,,,,,,,,,,,5.595276402,-3.176030021,2,-2.929235709,-2.690471742,1,,,,,,0.753199995,0.998900008,0,,36636
E2F6,chr2:11453798-11457179,chr2:11453798-11457179,-,exon_skip,TRUE,no,yes,138,FALSE,0.393,0.393,0.633,0.628,0.704,0.727,Early,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,3381
EBF3,chr10:129840334-129842116,chr10:129840334-129842116,-,exon_skip,FALSE,no,yes,139,FALSE,,,,,,,,,0.377,0.377,0.62,0.62,0.574,0.595,0.552,0.658,Early,Medium,,,,,,,,,,,,,,,,1782
EHD2,chr19:47724741-47725812,chr19:47718606-47725812,+,donor,FALSE,yes,yes,140,FALSE,,,,,,,,,0.042,0.042,0.364,0.497,0.497,0.9,0.904,0.904,Early,Top,-2.091667049,9.105700611,9,,,,-1.095610648,4.446733563,1,,,0.155400001,0.998800009,16,50,7206
EHMT1,chr9:137778055-137790848,chr9:137778055-137790848,+,exon_skip,FALSE,yes,yes,141,FALSE,0.001,0.001,0.001,0.001,0.115,0.231,Intermediate,Bottom,,,,,,,,,,,5.706010763,-4.78532663,6,-0.640875835,-2.529706167,5,,,,,,,,,,12793
EIF4A2,chr3:186787882-186788310,chr3:186787882-186789125,+,acceptor,TRUE,no,yes,142,FALSE,,,,,,,,,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.383,Late,Bottom,,,,,,,,,,,,1,0.999800003,0,,1243
EIF4G1,chr3:184316218-184316713,chr3:184316218-184317321,+,acceptor,TRUE,no,yes,143,FALSE,0.214,0.214,0.214,0.214,0.214,0.505,Late,Medium,,,,,,,,,,,,,,,,,,,,,,1,0.999900001,0,,1103
EIF4G1,chr3:184316733-184317321,chr3:184316218-184317321,+,donor,TRUE,no,no,143,FALSE,0.252,0.252,0.252,0.252,0.252,0.512,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,1,0.983800006,0,,1103
ELAVL3,chr19:11463662-11466172,chr19:11458611-11466172,-,acceptor,FALSE,yes,yes,144,FALSE,0,0,0.162,0.303,0.561,0.829,Early,Top,0.002,0.002,0.36,0.67,0.749,0.75,0.754,0.776,Early,Top,-4.250926024,2.329280337,3,0.925829661,4.997096031,4,-1.029700496,4.772215621,1,8.64,8.46,0.110200001,0.983100003,24,86,7561
ELAVL3,chr19:11458611-11463496,chr19:11458611-11466172,-,donor,FALSE,yes,no,144,FALSE,0,0,0.164,0.254,0.455,0.827,Early,Top,0.001,0.001,0.286,0.647,0.736,0.743,0.719,0.75,Early,Top,,,,,,,,,,7.43,7.29,0.0015,0.995800006,20,6,7561
ELOA-AS1,chr1:23772426-23778199,chr1:23772166-23778199,-,acceptor,TRUE,no,yes,145,FALSE,0.672,0.672,0.672,0.923,0.923,0.992,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,0.0282,0.0023,0,,6033
EML4,chr2:42256630-42261121,chr2:42256630-42263178,+,acceptor,TRUE,no,yes,146,FALSE,,,,,,,,,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.54,Late,Bottom,,,,,,,,,,,,0.999800003,0.995300007,0,,6548
ENDOV,chr17:80429831-80436133,chr17:80429831-80430041,+,acceptor,TRUE,yes,yes,147,TRUE,0.032,0.053,0.032,0.032,0.032,0.298,Late,Bottom,,,,,,,,,,,6.593617887,-3.442034679,2,-1.799696716,-3.607964919,1,,,,,,0.188200001,0.0034,0,,210
EP400,chr12:131981596-131982093,chr12:131979793-131982093,+,donor,TRUE,no,yes,148,FALSE,,,,,,,,,0.675,0.675,0.675,0.675,0.675,0.675,0.894,0.92,Early,Bottom,,,,,,,,,,,,0.9449,0.972500002,0,,2300
EP400,chr12:131992230-132005077,chr12:131992230-132005077,+,exon_skip,FALSE,yes,no,148,FALSE,,,,,,,,,0.015,0.015,0.541,0.733,0.775,0.807,0.807,0.777,Early,Top,,,,,,,,,,,,,,,,12847
EPB41,chr1:29058645-29058811,chr1:29058645-29060422,+,acceptor,TRUE,no,yes,149,FALSE,,,,,,,,,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.883,Late,Bottom,,,,,,,,,,,,0.99920001,0.982899994,0,,1777
EPB41,chr1:29058852-29060422,chr1:29058645-29060422,+,donor,TRUE,no,no,149,FALSE,,,,,,,,,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.651,Late,Bottom,,,,,,,,,,,,1,0.998800015,0,,1777
