gene_name,paste_into_igv_junction,junc_cat,baseline_PSI,contrast_PSI,comparison,strand,is_cryptic,n_significant_data
UPF2,chr10:11921307-11926922,novel_donor,0.0086,0.2505,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,5
TSEN2,chr3:12505231-12528888,annotated,0.0046,0.1424,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,2
PRR14,chr16:30654339-30655351,novel_exon_skip,0.0253,0.2007,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
USP24,chr1:55151975-55153870,annotated,0.0222,0.1643,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
PPP1R21,chr2:48461175-48464937,novel_donor,0.0048,0.1053,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
WDR26,chr1:224411562-224418260,novel_acceptor,0.0366,0.1046,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RPRD2,chr1:150460317-150470561,novel_exon_skip,0.0303,0.172,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
EML5,chr14:88705588-88712271,novel_exon_skip,0.0036,0.1755,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
EML5,chr14:88705588-88712271,novel_exon_skip,0.0055,0.233,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
ATG4B,chr2:241653369-241653512,annotated,0.0195,0.1571,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ASPSCR1,chr17:81978588-81979184,novel_donor,0.04,0.1037,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
DCLK2,chr4:150248386-150249567,none,0.0294,0.206,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
GPR137,chr11:64288468-64289037,annotated,0.0494,0.156,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
RTKN2,chr10:62246057-62268551,novel_exon_skip,0.0128,0.1573,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
ARMCX2,chrX:101658569-101659076,annotated,0.0231,0.1071,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
BICD2,chr9:92713461-92715253,annotated,0.0187,0.3227,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,2
KIF18B,chr17:44934430-44934831,novel_exon_skip,0.0053,0.1405,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
GSTK1,chr7:143265092-143267617,annotated,0.0498,0.165,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
TCAF1,chr7:143876622-143902027,annotated,0.0122,0.1849,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RUSF1,chr16:31492340-31493603,novel_exon_skip,0.0035,0.1367,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RUSF1,chr16:31493525-31493602,none,0.0192,0.1311,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
CPNE2,chr16:57134826-57146085,annotated,0.0229,0.1158,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
NCOR1,chr17:16065691-16067894,annotated,0.0038,0.1269,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
INPP5E,chr9:136429808-136430276,none,0.0074,0.1028,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
DNAJB12,chr10:72336696-72340789,novel_exon_skip,0.0068,0.1007,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
OBI1,chr13:78642213-78659049,novel_exon_skip,0.009,0.1432,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
GDPD1,chr17:59248785-59257751,annotated,0.0082,0.2134,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
APEX2,chrX:55001629-55002962,annotated,0.0083,0.1572,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
STAT5B,chr17:42201865-42202102,none,0.0119,0.2601,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,3
XXYLT1,chr3:195156581-195175631,annotated,0.019,0.2188,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
ZBTB40,chr1:22491533-22506049,annotated,0.0243,0.1107,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ZBTB40,chr1:22504344-22506049,novel_donor,0.0073,0.1092,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
IPO4,chr14:24182403-24182976,ambig_gene,0.0191,0.1424,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,2
IPO4,chr14:24182403-24182976,ambig_gene,0.0358,0.1862,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,2
ZNF512B,chr20:63966029-63966122,none,0.0269,0.1252,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,2
MSH5,chr6:31744581-31746142,annotated,0.0051,0.1683,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,2
POLG2,chr17:64480389-64481246,annotated,0.0357,0.2377,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
POLG2,chr17:64493021-64496532,annotated,0.007,0.1002,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RP11-468E2.2,chr14:24182403-24182976,ambig_gene,0.0191,0.1424,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,2
RP11-468E2.2,chr14:24182403-24182976,ambig_gene,0.0383,0.1881,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,2
RP11-571M6.19,chr12:57625752-57625998,annotated,0.0281,0.1598,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
VPS53,chr17:655953-697418,annotated,0.0021,0.2051,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
SCYL1,chr11:65538325-65538441,none,0.0453,0.2126,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
GIGYF1,chr7:100681789-100681863,none,0.0076,0.1765,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
CHMP7,chr8:23246824-23249210,annotated,0.0049,0.1072,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
CHMP7,chr8:23246824-23249210,annotated,0.0066,0.1095,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
PARD3,chr10:34346449-34347965,annotated,0.0145,0.1766,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
APPL1,chr3:57227937-57230714,annotated,0.0073,0.2568,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
FAAP20,chr1:2193910-2198007,annotated,0.0027,0.1008,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
WDFY3,chr4:84684125-84690506,novel_exon_skip,0.0109,0.1798,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
TMEM135,chr11:87071615-87157341,novel_exon_skip,0.0084,0.1442,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
THBS3,chr1:155200113-155200897,annotated,0.0412,0.1842,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
SETMAR,chr3:4303526-4313647,annotated,0.0472,0.2506,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ARMC10,chr7:103083830-103084030,annotated,0.0065,0.2092,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ARMC10,chr7:103084062-103086630,annotated,0.0043,0.2462,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ANKRD13D,chr11:67289550-67289829,annotated,0.0329,0.2202,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ESRRA,chr11:64314367-64314744,annotated,0.0259,0.1768,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
BCR,chr22:23314073-23315433,novel_exon_skip,0.0109,0.1831,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
BCR,chr22:23314073-23315433,novel_exon_skip,0.006,0.1499,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
EOLA2,chrX:149937480-149938142,annotated,0.0216,0.1822,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
ZNF655,chr7:99562494-99563188,annotated,0.0207,0.288,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ZNF655,chr7:99562494-99571688,annotated,0.005,0.1428,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
OPA1,chr3:193593409-193603500,annotated,0.0463,0.1973,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
AGAP12P,chr10:48011852-48012276,novel_acceptor,0.0259,0.1589,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
CH17-264L24.2,chr22:22309883-22318899,ambig_gene,0.0337,0.2187,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
CH17-264L24.2,chr22:22309883-22318899,ambig_gene,0.0316,0.2304,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
USP21,chr1:161165144-161165356,none,0.0263,0.1556,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
HMBOX1,chr8:28891484-28963811,annotated,0.0036,0.1208,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
TENM4,chr11:78848047-78854104,novel_acceptor,0.0401,0.2796,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
PIP4K2A,chr10:22573457-22607927,novel_exon_skip,0.0396,0.2087,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RWDD2B,chr21:29009692-29019211,annotated,0.0059,0.1514,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
FBRS,chr16:30660442-30662420,annotated,0.0062,0.1722,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
FBRS,chr16:30660442-30662420,annotated,0.0038,0.1447,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
LRP8,chr1:53274820-53275631,novel_acceptor,0.0483,0.1911,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,6
UBE2Z,chr17:48910881-48911178,none,0.0051,0.1092,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
FAM207A,chr21:44967181-44973200,novel_acceptor,0.0204,0.1571,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
MEMO1,chr2:31869952-31917926,annotated,0.0246,0.1707,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
SLMAP,chr3:57865292-57890041,annotated,0.0402,0.1085,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
SUN1,chr7:892419-893142,none,0.0395,0.115,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ARHGEF40,chr14:21075499-21075766,novel_acceptor,0.0227,0.1166,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,2
TMX3,chr18:68681545-68682925,novel_acceptor,0.0082,0.1288,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
SLC50A1,chr1:155136397-155136827,none,0.0442,0.1083,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
TRAPPC12,chr2:3458515-3460263,novel_donor,0.0049,0.2207,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,9
TRAPPC12,chr2:3472603-3477691,none,0.0484,0.1034,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
HCFC1,chrX:153953090-153953607,annotated,0.0315,0.1959,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RBM4B,chr11:66665578-66666272,annotated,0.0459,0.1747,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
FAM156B,chrX:52898726-52899468,annotated,0.0207,0.1489,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
FAM156B,chrX:52898726-52899468,annotated,0.0194,0.1433,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
PDE2A,chr11:72579897-72580576,none,0.046,0.189,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
NCOR2,chr12:124335632-124336639,novel_donor,0.0312,0.1267,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
LTB4R,chr14:24315016-24315637,annotated,0.0048,0.1776,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
NOL8,chr9:92321747-92322849,none,0.0054,0.1042,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
CBWD6,chr9:41156439-41160938,annotated,0.0017,0.1422,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
MLLT6,chr17:38720747-38722678,novel_exon_skip,0.0061,0.1534,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,3
MLLT6,chr17:38708286-38709079,none,0.0402,0.1913,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
PUM1,chr1:30980178-30981312,annotated,0.0032,0.1646,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RAPGEF5,chr7:22125422-22125603,none,0.0452,0.2491,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,2
PPP2R1B,chr11:111752332-111754499,annotated,0.0448,0.1944,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
ABI2,chr2:203376132-203380208,annotated,0.008,0.1503,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
MAN2C1,chr15:75359776-75359902,none,0.0094,0.1792,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
TBCD,chr17:82893632-82911758,annotated,0.0107,0.1483,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,3
TBCD,chr17:82900731-82911758,novel_exon_skip,0.003,0.1638,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,2
TBCD,chr17:82900731-82911758,novel_exon_skip,0.002,0.1413,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,2
ASTN2,chr9:117141475-117214358,novel_acceptor,0.0466,0.1266,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
SEC16A,chr9:136448161-136455601,novel_exon_skip,0.0207,0.2013,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
TMEM219,chr16:29972140-29972950,annotated,0.0244,0.1132,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ANK3,chr10:60134358-60138964,novel_exon_skip,0.037,0.1433,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
ANK3,chr10:60134358-60138964,novel_exon_skip,0.0356,0.122,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
SPC25,chr2:168889533-168890529,annotated,0.0075,0.1722,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
STK17A,chr7:43619723-43623762,novel_acceptor,0.0039,0.1177,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
STK17A,chr7:43619723-43623762,novel_acceptor,0.0092,0.2005,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
CHRNA5,chr15:78590104-78593092,novel_donor,0.0116,0.1171,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
LCLAT1,chr2:30447404-30525587,annotated,0.0363,0.1933,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ABCD2,chr12:39604930-39616988,novel_exon_skip,0.0307,0.2375,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
HGS,chr17:81696095-81696185,none,0.0483,0.1949,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
FAM120AOS,chr9:93450599-93452740,annotated,0.0417,0.136,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
OXLD1,chr17:81665584-81666146,annotated,0.0104,0.1988,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
SEPTIN7P2,chr7:45729026-45736787,annotated,0.0143,0.1287,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
PAM16,chr16:4341673-4343206,none,0.0028,0.1495,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
AC005329.7,chr19:1393606-1393888,annotated,0.0066,0.1439,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
ALG11,chr13:52019143-52028319,annotated,0.0366,0.2039,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ALG11,chr13:52019143-52028319,annotated,0.0481,0.2271,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
RP11-44M6.7,chr7:100578317-100578398,none,0.0344,0.2012,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
CIZ1,chr9:128178904-128179073,annotated,0.0441,0.1413,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
INTS4,chr11:77907810-77910970,annotated,0.0203,0.1352,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
EML3,chr11:62607099-62608201,novel_exon_skip,0.0323,0.1722,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,2
GABPA,chr21:25735578-25745210,annotated,0.005,0.1329,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
PWWP3A,chr19:1366382-1367159,none,0.0394,0.2382,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
TEDC2,chr16:2461801-2462148,none,0.0476,0.1844,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
MELK,chr9:36580155-36581644,novel_donor,0.0316,0.1919,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
WRN,chr8:31063866-31064289,novel_donor,0.0216,0.1646,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
NSD1,chr5:177136030-177136873,annotated,0.0275,0.1878,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,2
HDGFL2,chr19:4491835-4492015,novel_acceptor,0.0015,0.1114,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,7
NIPA1,chr15:22812253-22814387,novel_acceptor,0.0261,0.2083,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
NIPA1,chr15:22814505-22820313,novel_donor,0.002,0.1023,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
MGA,chr15:41736368-41739906,annotated,0.0107,0.1077,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
RNPEP,chr1:201983516-201988904,annotated,0.0345,0.1339,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
NR2C2,chr3:15047305-15049708,none,0.0411,0.2042,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
EEF1AKMT2,chr10:124765608-124767224,ambig_gene,0.0398,0.178,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
SKIV2L,chr6:31969090-31969279,none,0.0346,0.2102,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
STK38L,chr12:27302188-27309114,annotated,0.025,0.1694,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
AS3MT,chr10:102869845-102872448,ambig_gene,0.0418,0.2647,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
AS3MT,chr10:102869845-102872448,ambig_gene,0.0189,0.2021,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
PPIL3,chr2:200885772-200888956,annotated,0.0044,0.1712,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RP11-12J10.3,chr10:124787732-124789039,novel_acceptor,0.0185,0.1239,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RP11-12J10.3,chr10:124765608-124767224,ambig_gene,0.0398,0.178,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
MAGEA2,chrX:152751823-152752074,none,0.0252,0.1296,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
GATD3B,chr21:5118847-5124756,annotated,0.0104,0.1404,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
APRT,chr16:88810148-88811550,annotated,0.0305,0.1678,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,2
APRT,chr16:88810148-88811550,annotated,0.037,0.1397,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,2
SACM1L,chr3:45690387-45703438,annotated,0.0066,0.151,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
VPS16,chr20:2862934-2863061,novel_acceptor,0.0177,0.128,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
GET4,chr7:892475-893142,none,0.0409,0.1193,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,2
CHKB-CPT1B,chr22:50579802-50580190,ambig_gene,0.0067,0.1465,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
CHKB-CPT1B,chr22:50580083-50580189,none,0.0067,0.1563,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
GOLGA2P10,chr15:82475637-82476786,novel_acceptor,0.024,0.1228,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RTEL1,chr20:63658459-63659233,annotated,0.0245,0.3025,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
RTEL1,chr20:63658459-63659233,annotated,0.022,0.2988,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ZNF213-AS1,chr16:3132103-3134634,novel_exon_skip,0.0305,0.175,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
ZNF213-AS1,chr16:3132103-3134634,novel_exon_skip,0.0427,0.1897,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RNF115,chr1:145784596-145823772,novel_exon_skip,0.0276,0.1112,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
RNF115,chr1:145784596-145788612,novel_donor,0.0423,0.1343,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,4
AC005943.2,chr19:1581269-1584540,ambig_gene,0.0052,0.2116,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
BORCS7-ASMT,chr10:102869845-102872448,ambig_gene,0.0418,0.2647,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
BORCS7-ASMT,chr10:102869845-102872448,ambig_gene,0.0202,0.2033,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
PRRC2B,chr9:131486541-131487167,novel_donor,0.0022,0.1049,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
EP400,chr12:131992230-132005077,novel_exon_skip,0.0433,0.4907,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,10
ALKBH6,chr19:36011464-36013001,ambig_gene,0.0012,0.1151,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
ALKBH6,chr19:36011464-36013001,ambig_gene,0.0018,0.1185,controlappocherskndz-tdp43kdappocherskndz,-,TRUE,1
SEPTIN7P14,chr4:119494523-119512351,novel_exon_skip,0.0428,0.179,controlappocherskndz-tdp43kdappocherskndz,+,TRUE,1
ZFAT,chr8:134645052-134657561,novel_acceptor,0.0085,0.1792,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,3
ZFAT,chr8:134637712-134645005,novel_donor,0.0056,0.2619,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,3
SPEG,chr2:219464608-219465596,novel_acceptor,6e-04,0.1654,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,4
SPEG,chr2:219464668-219465514,none,0.0271,0.3061,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,2
SPEG,chr2:219465786-219466057,novel_donor,0.0011,0.3819,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,4
SPEG,chr2:219465787-219466056,none,0.0312,0.2679,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,3
SNCB,chr5:176629863-176630280,novel_acceptor,0.0326,0.1069,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,1
ACTL6B,chr7:100650643-100655019,novel_acceptor,0.0019,0.3903,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,7
ACTL6B,chr7:100650135-100650575,novel_donor,0.0019,0.4372,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,6
GRAMD1A,chr19:35000486-35001098,novel_acceptor,0.0022,0.3514,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,7
GRAMD1A,chr19:35001244-35009119,annotated,0.0216,0.5408,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,6
HDAC6,chrX:48818109-48820106,annotated,0.0028,0.1689,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,6
HDAC6,chrX:48818109-48820106,annotated,0.0022,0.1478,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,6
BCL2L13,chr22:17722390-17726691,none,0.0061,0.1432,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,5
CORO7-PAM16,chr16:4367442-4387986,ambig_gene,0.0025,0.1292,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,5
RPGRIP1L,chr16:53623000-53636439,novel_acceptor,0.0019,0.2378,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,3
IKBKB,chr8:42293568-42305187,annotated,0.0045,0.124,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,1
STMN2,chr8:79611214-79616822,novel_acceptor,2e-04,0.5195,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,8
PON2,chr7:95416297-95434878,annotated,0.0126,0.1523,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,1
ICA1,chr7:8142055-8143875,annotated,0.0444,0.1977,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,3
WIZ,chr19:15431182-15433165,annotated,0.0089,0.1555,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,1
CAMK2B,chr7:44230633-44231005,none,0.0318,0.1406,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,2
CAMK2B,chr7:44258610-44258872,novel_acceptor,3e-04,0.1914,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,3
CAMK2B,chr7:44258514-44258872,novel_acceptor,3e-04,0.1409,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,3
CAMK2B,chr7:44220901-44222117,novel_donor,1e-04,0.322,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,4
CAMK2B,chr7:44254607-44258490,novel_donor,3e-04,0.3432,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,4
MEF2A,chr15:99633173-99671323,annotated,0.0108,0.2003,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,1
KCNQ2,chr20:63439708-63444659,novel_exon_skip,3e-04,0.2425,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,9
KCNQ2,chr20:63439708-63444659,novel_exon_skip,2e-04,0.1986,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,9
EPB41L1,chr20:36092813-36175551,annotated,0.0444,0.1154,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,1
MAPKAPK5,chr12:111894726-111896203,none,0.0015,0.395,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,4
G2E3,chr14:30559272-30563746,novel_acceptor,0.0013,0.4033,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,5
FAM118A,chr22:45322426-45323172,novel_acceptor,0.032,0.2021,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,1
NECAB2,chr16:83990630-83993528,novel_acceptor,5e-04,0.2789,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,4
NECAB2,chr16:83993614-83994302,annotated,0.0013,0.4256,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,4
CAPN15,chr16:533998-546817,annotated,0.0458,0.2068,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,1
EARS2,chr16:23553123-23557205,annotated,0.0152,0.1432,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,1
WASL,chr7:123684580-123692347,novel_exon_skip,0.0011,0.4122,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,8
WASL,chr7:123684580-123692347,novel_exon_skip,8e-04,0.4494,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,-,TRUE,8
LZTS2,chr10:101002946-101005458,novel_exon_skip,0.0236,0.1183,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,1
USP9Y,chrY:12811781-12812867,novel_acceptor,0.0469,0.2164,controlbrowncorticalneuron-tdp43kdbrowncorticalneuron,+,TRUE,1
