paste_into_igv_junction,color_gene_name,Control_Control,Cycloheximide_Control,Control_TDP43KD,Cycloheximide_TDP43KD,normal_cryptic_chx,chx_cryptic,chx_effect,gene_name,gene_id,ensgene
chr16:4365545-4367298,NMD rescued,0.0034,7e-04,0.048,0.1621,FALSE,TRUE,Dark cryptic,CORO7-PAM16,ENSG00000103426.12,ENSG00000103426
chr16:4365545-4367298,NMD rescued,0.0034,7e-04,0.048,0.1621,FALSE,TRUE,Dark cryptic,CORO7,ENSG00000262246.6,ENSG00000262246
chr16:4365545-4367184,NMD rescued,0.0034,0.0054,0.0615,0.203,FALSE,TRUE,Dark cryptic,CORO7-PAM16,ENSG00000103426.12,ENSG00000103426
chr16:4365545-4367184,NMD rescued,0.0034,0.0054,0.0615,0.203,FALSE,TRUE,Dark cryptic,CORO7,ENSG00000262246.6,ENSG00000262246
chr16:17125877-17127666,non-NMD rescued,0.0175,0.048,0.0744,0.1429,FALSE,TRUE,Dark cryptic,XYLT1,ENSG00000103489.12,ENSG00000103489
chr16:4764778-4765565,non-NMD rescued,0.0104,0.0112,0.1508,0.1161,TRUE,TRUE,non-NMD rescued,ZNF500,ENSG00000103199.14,ENSG00000103199
chr15:44621772-44622220,non-NMD rescued,0.0238,0.0203,0.0072,0.1056,FALSE,TRUE,Dark cryptic,SPG11,ENSG00000104133.16,ENSG00000104133
chr15:44620403-44621246,NMD rescued,0.0052,0.0397,0.0431,0.157,FALSE,TRUE,Dark cryptic,SPG11,ENSG00000104133.16,ENSG00000104133
chr8:42322494-42325287,non-NMD rescued,0.0072,0.0469,0.0063,0.1057,FALSE,TRUE,Dark cryptic,IKBKB,ENSG00000104365.16,ENSG00000104365
chr8:42319646-42320723,NMD rescued,0.0048,0.0369,0.001,0.1308,FALSE,TRUE,Dark cryptic,IKBKB,ENSG00000104365.16,ENSG00000104365
chr8:143586852-143596855,non-NMD rescued,0.0462,0.002,0.0832,0.1049,FALSE,TRUE,non-NMD rescued,EEF1D,ENSG00000104529.18,ENSG00000104529
chr8:79611214-79616822,non-NMD rescued,0.0205,0.0269,0.9443,0.9534,TRUE,TRUE,PSI > 95% at baseline,STMN2,ENSG00000104435.14,ENSG00000104435
chr8:9013157-9016322,non-NMD rescued,0.0208,0.047,0.0499,0.1394,FALSE,TRUE,Dark cryptic,ERI1,ENSG00000104626.15,ENSG00000104626
chr19:55240491-55240945,NMD rescued,0.001,0.0137,0.0429,0.3353,FALSE,TRUE,Dark cryptic,PPP6R1,ENSG00000105063.19,ENSG00000105063
chr19:55240492-55240944,non-NMD rescued,0.0456,0.0483,0.1298,0.1673,TRUE,TRUE,non-NMD rescued,PPP6R1,ENSG00000105063.19,ENSG00000105063
chr19:41432809-41432916,non-NMD rescued,0.0495,0.0194,0.0585,0.1047,FALSE,TRUE,non-NMD rescued,DMAC2,ENSG00000105341.19,ENSG00000105341
chr19:2205439-2206729,non-NMD rescued,0.0034,0.0141,0.0186,0.1049,FALSE,TRUE,Dark cryptic,DOT1L,ENSG00000104885.18,ENSG00000104885
chr19:49981013-49981818,NMD rescued,0.0217,0.0229,0.0535,0.2087,FALSE,TRUE,Dark cryptic,VRK3,ENSG00000105053.11,ENSG00000105053
chr19:48223868-48231660,NMD rescued,0.0145,0.0141,0.0563,0.1744,FALSE,TRUE,Dark cryptic,CARD8,ENSG00000105483.18,ENSG00000105483
chr19:327989-328488,non-NMD rescued,0.046,0.0377,0.0341,0.1055,FALSE,TRUE,Dark cryptic,MIER2,ENSG00000105556.12,ENSG00000105556
chr19:12834006-12847290,non-NMD rescued,0.0152,0.0127,0.106,0.1008,TRUE,TRUE,non-NMD rescued,MAST1,ENSG00000105613.10,ENSG00000105613
chr19:12841066-12842139,non-NMD rescued,0.0021,6e-04,0.2105,0.2297,TRUE,TRUE,non-NMD rescued,MAST1,ENSG00000105613.10,ENSG00000105613
chr19:12842178-12843529,NMD rescued,0.0021,6e-04,0.0837,0.24,FALSE,TRUE,Dark cryptic,MAST1,ENSG00000105613.10,ENSG00000105613
chr19:38101226-38101593,non-NMD rescued,0.0057,0.0219,0.0297,0.1295,FALSE,TRUE,Dark cryptic,SIPA1L3,ENSG00000105738.11,ENSG00000105738
chr19:38008195-38029089,non-NMD rescued,0.037,0.0057,0.7867,0.6511,TRUE,TRUE,non-NMD rescued,SIPA1L3,ENSG00000105738.11,ENSG00000105738
chr7:24661883-24663590,NMD rescued,0.0477,0.024,0.0049,0.1311,FALSE,TRUE,Dark cryptic,MPP6,ENSG00000105926.16,ENSG00000105926
chr7:2280470-2314328,non-NMD rescued,0.0179,0.0363,0.1283,0.1209,TRUE,TRUE,non-NMD rescued,SNX8,ENSG00000106266.11,ENSG00000106266
chr19:18771325-18771442,non-NMD rescued,0.0095,0.0228,0.0814,0.1167,FALSE,TRUE,non-NMD rescued,CRTC1,ENSG00000105662.16,ENSG00000105662
chr7:128341355-128343676,non-NMD rescued,0.0024,0.039,0.064,0.1514,FALSE,TRUE,Dark cryptic,RBM28,ENSG00000106344.8,ENSG00000106344
chr7:128339791-128341290,non-NMD rescued,0.0032,0.0358,0.0524,0.1266,FALSE,TRUE,Dark cryptic,RBM28,ENSG00000106344.8,ENSG00000106344
chr7:16615904-16619155,NMD rescued,0.0123,0.0026,0.0027,0.1043,FALSE,TRUE,Dark cryptic,ANKMY2,ENSG00000106524.9,ENSG00000106524
chr9:128250940-128253047,non-NMD rescued,0.0011,5e-04,0.0945,0.1697,FALSE,TRUE,Dark cryptic,DNM1,ENSG00000106976.21,ENSG00000106976
chr9:128250940-128253047,NMD rescued,0.0088,0.0036,0.1358,0.2555,TRUE,TRUE,Dark cryptic,DNM1,ENSG00000106976.21,ENSG00000106976
chr9:128252801-128253101,non-NMD rescued,0.0088,0.0036,0.08,0.1128,FALSE,TRUE,non-NMD rescued,DNM1,ENSG00000106976.21,ENSG00000106976
chr9:130617895-130619327,NMD rescued,9e-04,0.0022,0.0147,0.1661,FALSE,TRUE,Dark cryptic,FUBP3,ENSG00000107164.16,ENSG00000107164
chr9:130619388-130620354,NMD rescued,6e-04,0.0014,0.0148,0.1588,FALSE,TRUE,Dark cryptic,FUBP3,ENSG00000107164.16,ENSG00000107164
chr7:2559217-2564878,non-NMD rescued,0.0041,7e-04,0.8257,0.7752,TRUE,TRUE,non-NMD rescued,IQCE,ENSG00000106012.18,ENSG00000106012
chr7:2565071-2567116,non-NMD rescued,0.008,0.0015,0.8673,0.8464,TRUE,TRUE,non-NMD rescued,IQCE,ENSG00000106012.18,ENSG00000106012
chr10:17154734-17157462,non-NMD rescued,0.019,0.0481,0.1193,0.1132,TRUE,TRUE,non-NMD rescued,TRDMT1,ENSG00000107614.22,ENSG00000107614
chr7:123684580-123692347,NMD rescued,0.0016,8e-04,0.6332,0.7672,TRUE,TRUE,NMD rescued,WASL,ENSG00000106299.8,ENSG00000106299
chr7:6122200-6135841,NMD rescued,0.0046,0.0427,0.0085,0.11,FALSE,TRUE,Dark cryptic,USP42,ENSG00000106346.11,ENSG00000106346
chr10:121973599-121974004,non-NMD rescued,0.0084,0.0185,0.2861,0.239,TRUE,TRUE,non-NMD rescued,NSMCE4A,ENSG00000107672.15,ENSG00000107672
chr10:121971069-121973523,non-NMD rescued,0.011,0.0091,0.1902,0.2371,TRUE,TRUE,non-NMD rescued,NSMCE4A,ENSG00000107672.15,ENSG00000107672
chr7:44208198-44210090,NMD rescued,0.0054,0.0143,0.0141,0.1776,FALSE,TRUE,Dark cryptic,YKT6,ENSG00000106636.9,ENSG00000106636
chr17:42964237-42969156,NMD rescued,0.0148,0.0189,0.0051,0.1885,FALSE,TRUE,Dark cryptic,PTGES3L-AARSD1,ENSG00000108825.18,ENSG00000108825
chr10:99880361-99881103,non-NMD rescued,0.0278,0.0278,0.0448,0.1344,FALSE,TRUE,Dark cryptic,DNMBP,ENSG00000107554.17,ENSG00000107554
chr10:101002946-101005458,non-NMD rescued,0.0025,0.0275,0.02,0.1098,FALSE,TRUE,Dark cryptic,LZTS2,ENSG00000107816.17,ENSG00000107816
chr10:24609531-24619473,NMD rescued,0.0173,0.0142,0.0258,0.1303,FALSE,TRUE,Dark cryptic,ARHGAP21,ENSG00000107863.19,ENSG00000107863
chr10:102509303-102524760,non-NMD rescued,0.0193,0.0491,0.0423,0.1011,FALSE,TRUE,Dark cryptic,SUFU,ENSG00000107882.12,ENSG00000107882
chr10:130175089-130180113,non-NMD rescued,0.0305,0.0419,0.0685,0.108,FALSE,TRUE,non-NMD rescued,GLRX3,ENSG00000108010.12,ENSG00000108010
chr10:106574181-106579091,non-NMD rescued,0.0389,0.0467,0.057,0.1001,FALSE,TRUE,non-NMD rescued,SORCS1,ENSG00000108018.16,ENSG00000108018
chr10:67823392-67835392,non-NMD rescued,0.0017,0.0199,0.0318,0.1208,FALSE,TRUE,Dark cryptic,DNAJC12,ENSG00000108176.15,ENSG00000108176
chr4:169697734-169706868,NMD rescued,0.0024,0.0371,0.0023,0.1958,FALSE,TRUE,Dark cryptic,CLCN3,ENSG00000109572.14,ENSG00000109572
chr11:47325032-47326544,NMD rescued,0.0035,0.0049,0.1587,0.7748,TRUE,TRUE,NMD rescued,MADD,ENSG00000110514.19,ENSG00000110514
chr11:47325032-47326738,non-NMD rescued,0.0095,3e-04,0.1836,0.2693,TRUE,TRUE,NMD rescued,MADD,ENSG00000110514.19,ENSG00000110514
chr11:47325032-47328658,NMD rescued,7e-04,1e-04,0.0443,0.1571,FALSE,TRUE,Dark cryptic,MADD,ENSG00000110514.19,ENSG00000110514
chr17:16344711-16348574,non-NMD rescued,0.0062,0.0331,0.1077,0.1243,TRUE,TRUE,non-NMD rescued,PIGL,ENSG00000108474.17,ENSG00000108474
chr17:61884662-61884901,NMD rescued,0.0185,0.0299,0.005,0.1065,FALSE,TRUE,Dark cryptic,INTS2,ENSG00000108506.13,ENSG00000108506
chr17:61881171-61884571,NMD rescued,0.0185,0.0384,0.0018,0.1227,FALSE,TRUE,Dark cryptic,INTS2,ENSG00000108506.13,ENSG00000108506
chr11:47325032-47328658,non-NMD rescued,9e-04,1e-04,0.0296,0.1049,FALSE,TRUE,Dark cryptic,MADD,ENSG00000110514.19,ENSG00000110514
chr4:177353728-177362289,non-NMD rescued,0.0175,0.0206,0.1002,0.1724,TRUE,TRUE,NMD rescued,NEIL3,ENSG00000109674.4,ENSG00000109674
chr4:151144288-151149500,NMD rescued,0.0455,0.0494,0.0325,0.2411,FALSE,TRUE,Dark cryptic,SH3D19,ENSG00000109686.19,ENSG00000109686
chr11:126306744-126330194,NMD rescued,0.017,0.0366,0.01,0.1199,FALSE,TRUE,Dark cryptic,DCPS,ENSG00000110063.10,ENSG00000110063
chr11:68554257-68558178,non-NMD rescued,7e-04,0.008,0.0362,0.1253,FALSE,TRUE,Dark cryptic,PPP6R3,ENSG00000110075.15,ENSG00000110075
chr6:88906119-88906365,NMD rescued,0.0066,0.0028,0.0015,0.1218,FALSE,TRUE,Dark cryptic,RNGTT,ENSG00000111880.16,ENSG00000111880
chr6:35411217-35421820,NMD rescued,0.0156,0.0403,0.056,0.1905,FALSE,TRUE,Dark cryptic,PPARD,ENSG00000112033.14,ENSG00000112033
chr6:35353050-35410987,non-NMD rescued,0.0241,0.0471,0.0583,0.1039,FALSE,TRUE,non-NMD rescued,PPARD,ENSG00000112033.14,ENSG00000112033
chr6:20403832-20488113,non-NMD rescued,0.0141,0.0245,0.1052,0.1727,TRUE,TRUE,NMD rescued,E2F3,ENSG00000112242.15,ENSG00000112242
chr6:165909080-165987529,NMD rescued,0.0042,0.0416,0.0123,0.1127,FALSE,TRUE,Dark cryptic,PDE10A,ENSG00000112541.18,ENSG00000112541
chr12:111712193-111712498,NMD rescued,0.0042,0.0269,0.0812,0.1865,FALSE,TRUE,Dark cryptic,ACAD10,ENSG00000111271.15,ENSG00000111271
chr12:6843978-6845027,NMD rescued,0.0079,0.0266,0.0021,0.1819,FALSE,TRUE,Dark cryptic,GNB3,ENSG00000111664.11,ENSG00000111664
chr12:104079653-104082500,non-NMD rescued,0.0179,0.0495,0.0069,0.1023,FALSE,TRUE,Dark cryptic,HCFC2,ENSG00000111727.12,ENSG00000111727
chr12:22518137-22518253,non-NMD rescued,0.0042,0.0086,0.014,0.1101,FALSE,TRUE,Dark cryptic,C2CD5,ENSG00000111731.13,ENSG00000111731
chr12:9294963-9297781,non-NMD rescued,0.0093,0.0086,0.0022,0.1002,FALSE,TRUE,Dark cryptic,RP11-22B23.1,ENSG00000111788.10,ENSG00000111788
chr6:4061147-4062213,non-NMD rescued,0.0302,0.0401,0.0177,0.1062,FALSE,TRUE,Dark cryptic,PRPF4B,ENSG00000112739.17,ENSG00000112739
chr5:648223-652988,non-NMD rescued,0.0078,0.0232,0.5131,0.446,TRUE,TRUE,non-NMD rescued,CEP72,ENSG00000112877.8,ENSG00000112877
chr5:648986-652988,non-NMD rescued,0.0078,0.0068,0.2302,0.3096,TRUE,TRUE,NMD rescued,CEP72,ENSG00000112877.8,ENSG00000112877
chr5:59180644-59193500,non-NMD rescued,0.025,0.0444,0.0501,0.1085,FALSE,TRUE,Dark cryptic,PDE4D,ENSG00000113448.19,ENSG00000113448
chr2:58217434-58221942,NMD rescued,0.0049,0.0195,0.2558,0.4198,TRUE,TRUE,NMD rescued,FANCL,ENSG00000115392.12,ENSG00000115392
chr3:142101841-142149114,non-NMD rescued,0.0173,0.048,0.179,0.1824,TRUE,TRUE,non-NMD rescued,TFDP2,ENSG00000114126.18,ENSG00000114126
chr2:39056866-39067628,non-NMD rescued,0.0086,0.0417,0.0932,0.1101,FALSE,TRUE,non-NMD rescued,SOS1,ENSG00000115904.14,ENSG00000115904
chr2:69461983-69464111,NMD rescued,0.0125,0.0199,0.0027,0.1108,FALSE,TRUE,Dark cryptic,AAK1,ENSG00000115977.21,ENSG00000115977
chr2:206570811-206573115,non-NMD rescued,0.0117,0.0038,0.0271,0.1124,FALSE,TRUE,Dark cryptic,ADAM23,ENSG00000114948.13,ENSG00000114948
chr1:52606260-52606684,NMD rescued,0.0035,0.002,0.141,0.2621,TRUE,TRUE,NMD rescued,GPX7,ENSG00000116157.6,ENSG00000116157
chr2:164493182-164493884,NMD rescued,0.0476,0.0037,0.021,0.1684,FALSE,TRUE,Dark cryptic,GRB14,ENSG00000115290.10,ENSG00000115290
chr2:215362934-215366933,NMD rescued,0.0436,0.0104,0.0595,0.3198,FALSE,TRUE,Dark cryptic,FN1,ENSG00000115414.21,ENSG00000115414
chr1:243527864-243545510,NMD rescued,0.0029,5e-04,0.092,0.2075,FALSE,TRUE,Dark cryptic,AKT3,ENSG00000117020.19,ENSG00000117020
chr1:243523467-243545510,NMD rescued,0.0029,5e-04,0.0739,0.3105,FALSE,TRUE,Dark cryptic,AKT3,ENSG00000117020.19,ENSG00000117020
chr1:243512426-243523309,NMD rescued,0.0029,5e-04,0.2886,0.6,TRUE,TRUE,NMD rescued,AKT3,ENSG00000117020.19,ENSG00000117020
chr2:241243548-241243607,NMD rescued,0.0175,0.0491,0.0065,0.109,FALSE,TRUE,Dark cryptic,HDLBP,ENSG00000115677.18,ENSG00000115677
chr1:81445089-81699747,NMD rescued,0.0105,0.0218,0.04,0.1517,FALSE,TRUE,Dark cryptic,ADGRL2,ENSG00000117114.20,ENSG00000117114
chr1:44226003-44247939,NMD rescued,7e-04,2e-04,0.0181,0.1276,FALSE,TRUE,Dark cryptic,ERI3,ENSG00000117419.16,ENSG00000117419
chr1:44221640-44225766,NMD rescued,6e-04,1e-04,0.0387,0.2207,FALSE,TRUE,Dark cryptic,ERI3,ENSG00000117419.16,ENSG00000117419
chr1:214011715-214012817,non-NMD rescued,0.0032,0.0016,0.0214,0.1081,FALSE,TRUE,Dark cryptic,PROX1,ENSG00000117707.16,ENSG00000117707
chr1:34929068-34929451,NMD rescued,0.0256,0.0042,0.0975,0.2543,FALSE,TRUE,Dark cryptic,DLGAP3,ENSG00000116544.12,ENSG00000116544
chr1:34907437-34929069,non-NMD rescued,0.0256,0.0267,0.3543,0.4061,TRUE,TRUE,NMD rescued,DLGAP3,ENSG00000116544.12,ENSG00000116544
chr1:34907437-34929059,NMD rescued,0.0154,0.0024,0.1326,0.2987,TRUE,TRUE,NMD rescued,DLGAP3,ENSG00000116544.12,ENSG00000116544
chr1:34907437-34928988,non-NMD rescued,0.0154,0.0024,0.1504,0.1347,TRUE,TRUE,non-NMD rescued,DLGAP3,ENSG00000116544.12,ENSG00000116544
chr11:78189158-78196235,NMD rescued,0.0087,0.0016,0.0026,0.1237,FALSE,TRUE,Dark cryptic,USP35,ENSG00000118369.13,ENSG00000118369
chr1:40161636-40190772,non-NMD rescued,0.0445,0.0419,0.3245,0.1339,TRUE,TRUE,non-NMD rescued,RLF,ENSG00000117000.9,ENSG00000117000
chr1:77044613-77062975,non-NMD rescued,0.0433,0.0451,0.026,0.1181,FALSE,TRUE,Dark cryptic,ST6GALNAC5,ENSG00000117069.15,ENSG00000117069
chr1:23808323-23814190,NMD rescued,0.004,0.0492,0.0089,0.112,FALSE,TRUE,Dark cryptic,HMGCL,ENSG00000117305.15,ENSG00000117305
chr1:43979511-43984865,NMD rescued,0.0023,8e-04,0.1232,0.2307,TRUE,TRUE,NMD rescued,B4GALT2,ENSG00000117411.18,ENSG00000117411
chr1:43979616-43984865,NMD rescued,0.0023,8e-04,0.0112,0.1475,FALSE,TRUE,Dark cryptic,B4GALT2,ENSG00000117411.18,ENSG00000117411
chr9:116687665-116697662,NMD rescued,0.0152,0.0363,0.0023,0.1228,FALSE,TRUE,Dark cryptic,TRIM32,ENSG00000119401.11,ENSG00000119401
chr10:94557222-94558139,NMD rescued,0.0196,0.0176,0.006,0.1289,FALSE,TRUE,Dark cryptic,HELLS,ENSG00000119969.15,ENSG00000119969
chr2:19978167-19978751,NMD rescued,0.0026,2e-04,0.3828,0.6586,TRUE,TRUE,NMD rescued,WDR35,ENSG00000118965.16,ENSG00000118965
chr2:19978120-19978751,non-NMD rescued,0.0026,0.032,0.1224,0.147,TRUE,TRUE,non-NMD rescued,WDR35,ENSG00000118965.16,ENSG00000118965
chr2:19975663-19977925,NMD rescued,0.0034,0.0346,0.5843,0.7982,TRUE,TRUE,NMD rescued,WDR35,ENSG00000118965.16,ENSG00000118965
chr12:123944740-123972529,non-NMD rescued,0.0263,0.0403,0.1605,0.128,TRUE,TRUE,non-NMD rescued,CCDC92,ENSG00000119242.9,ENSG00000119242
chr1:108885578-108896317,non-NMD rescued,0.0037,0.0023,0.5808,0.5114,TRUE,TRUE,non-NMD rescued,GPSM2,ENSG00000121957.15,ENSG00000121957
chr2:25237276-25239130,NMD rescued,4e-04,7e-04,0.1739,0.4905,TRUE,TRUE,NMD rescued,DNMT3A,ENSG00000119772.18,ENSG00000119772
chr2:25237005-25237139,NMD rescued,6e-04,1e-04,0.1053,0.5607,TRUE,TRUE,NMD rescued,DNMT3A,ENSG00000119772.18,ENSG00000119772
chr2:23864924-23865921,non-NMD rescued,0.0109,0.0303,0.0276,0.1072,FALSE,TRUE,Dark cryptic,ATAD2B,ENSG00000119778.15,ENSG00000119778
chr1:108896431-108896864,non-NMD rescued,0.0036,0.0022,0.7062,0.4572,TRUE,TRUE,non-NMD rescued,GPSM2,ENSG00000121957.15,ENSG00000121957
chr1:170540665-170542491,non-NMD rescued,0.0108,0.0239,0.0742,0.1057,FALSE,TRUE,non-NMD rescued,GORAB,ENSG00000120370.13,ENSG00000120370
chr8:42861855-42864617,non-NMD rescued,0.0184,0.04,0.0273,0.1161,FALSE,TRUE,Dark cryptic,RNF170,ENSG00000120925.16,ENSG00000120925
chr12:116054357-116096669,NMD rescued,0.0121,6e-04,0.3089,0.4238,TRUE,TRUE,NMD rescued,MED13L,ENSG00000123066.9,ENSG00000123066
chr12:116022601-116054245,NMD rescued,0.0185,0.0076,0.1685,0.2802,TRUE,TRUE,NMD rescued,MED13L,ENSG00000123066.9,ENSG00000123066
chr10:87156837-87158048,non-NMD rescued,0.0028,0.0149,0.0839,0.1664,FALSE,TRUE,Dark cryptic,SHLD2,ENSG00000122376.12,ENSG00000122376
chr5:7878322-7885701,non-NMD rescued,0.0118,0.0015,0.4527,0.5065,TRUE,TRUE,NMD rescued,MTRR,ENSG00000124275.15,ENSG00000124275
chr19:33501001-33507343,non-NMD rescued,0.0034,0.0019,0.1817,0.1537,TRUE,TRUE,non-NMD rescued,PEPD,ENSG00000124299.15,ENSG00000124299
chr7:33357995-33365564,NMD rescued,0.021,0.0458,0.0051,0.1324,FALSE,TRUE,Dark cryptic,BBS9,ENSG00000122507.21,ENSG00000122507
chr7:135121177-135167732,non-NMD rescued,0.004,0.0071,0.0334,0.1069,FALSE,TRUE,Dark cryptic,CYREN,ENSG00000122783.17,ENSG00000122783
chr19:14446561-14450088,NMD rescued,0.0043,0.0018,0.2535,0.7022,TRUE,TRUE,NMD rescued,PKN1,ENSG00000123143.13,ENSG00000123143
chr19:14450214-14450318,NMD rescued,9e-04,2e-04,0.0723,0.4232,FALSE,TRUE,Dark cryptic,PKN1,ENSG00000123143.13,ENSG00000123143
chr19:12672601-12673018,non-NMD rescued,0.0093,0.0125,0.0205,0.1134,FALSE,TRUE,Dark cryptic,WDR83,ENSG00000123154.12,ENSG00000123154
chr19:12670297-12672483,NMD rescued,0.0208,0.0043,0.0043,0.1091,FALSE,TRUE,Dark cryptic,WDR83,ENSG00000123154.12,ENSG00000123154
chr9:132596422-132612087,NMD rescued,0.0066,0.0347,0.0305,0.1344,FALSE,TRUE,Dark cryptic,DDX31,ENSG00000125485.17,ENSG00000125485
chr13:112522509-112545699,non-NMD rescued,0.0237,0.0091,0.0138,0.1009,FALSE,TRUE,Dark cryptic,TUBGCP3,ENSG00000126216.15,ENSG00000126216
chr6:7405355-7409276,NMD rescued,0.0016,2e-04,0.0217,0.1728,FALSE,TRUE,Dark cryptic,RIOK1,ENSG00000124784.9,ENSG00000124784
chr6:7409396-7410386,NMD rescued,9e-04,1e-04,0.0678,0.1858,FALSE,TRUE,Dark cryptic,RIOK1,ENSG00000124784.9,ENSG00000124784
chr11:62522152-62522537,NMD rescued,0.0036,0.0034,0.0285,0.1361,FALSE,TRUE,Dark cryptic,AHNAK,ENSG00000124942.14,ENSG00000124942
chr4:932540-951207,non-NMD rescued,0.0052,0.002,0.4985,0.207,TRUE,TRUE,non-NMD rescued,TMEM175,ENSG00000127419.17,ENSG00000127419
chr4:952450-952817,non-NMD rescued,0.0115,0.002,0.0322,0.1023,FALSE,TRUE,Dark cryptic,TMEM175,ENSG00000127419.17,ENSG00000127419
chr13:95105103-95115922,NMD rescued,0.0106,0.0312,0.0027,0.1106,FALSE,TRUE,Dark cryptic,ABCC4,ENSG00000125257.16,ENSG00000125257
chr13:95157322-95161189,NMD rescued,0.0436,0.0068,0.0469,0.492,FALSE,TRUE,Dark cryptic,ABCC4,ENSG00000125257.16,ENSG00000125257
chr13:95021682-95025066,NMD rescued,0.0132,0.0018,0.0181,0.1225,FALSE,TRUE,Dark cryptic,ABCC4,ENSG00000125257.16,ENSG00000125257
chr13:95083290-95105046,non-NMD rescued,0.0167,0.0325,0.0047,0.1046,FALSE,TRUE,Dark cryptic,ABCC4,ENSG00000125257.16,ENSG00000125257
chr13:95116001-95157161,NMD rescued,0.0218,0.0167,0.1172,0.3687,TRUE,TRUE,NMD rescued,ABCC4,ENSG00000125257.16,ENSG00000125257
chr13:95116001-95157140,NMD rescued,0.0218,0.0034,0.0035,0.1895,FALSE,TRUE,Dark cryptic,ABCC4,ENSG00000125257.16,ENSG00000125257
chr7:75524256-75525905,NMD rescued,0.0196,0.0281,0.0127,0.1279,FALSE,TRUE,Dark cryptic,PMS2P3,ENSG00000127957.18,ENSG00000127957
chr7:75516220-75524054,non-NMD rescued,0.0131,0.0316,0.0789,0.1005,FALSE,TRUE,non-NMD rescued,PMS2P3,ENSG00000127957.18,ENSG00000127957
chr19:40048796-40055416,non-NMD rescued,0.0323,0.0286,0.0369,0.1002,FALSE,TRUE,Dark cryptic,ZNF780B,ENSG00000128000.17,ENSG00000128000
chr20:34072330-34075874,NMD rescued,3e-04,0.0125,0.0023,0.1436,FALSE,TRUE,Dark cryptic,RALY,ENSG00000125970.12,ENSG00000125970
chr20:34072330-34076702,non-NMD rescued,0.0188,0.0191,0.172,0.1818,TRUE,TRUE,non-NMD rescued,RALY,ENSG00000125970.12,ENSG00000125970
chr19:49642242-49645354,non-NMD rescued,0.0358,0.0406,0.0275,0.1083,FALSE,TRUE,Dark cryptic,SCAF1,ENSG00000126461.15,ENSG00000126461
chr14:55394715-55395940,NMD rescued,0.0333,0.018,0.008,0.2557,FALSE,TRUE,Dark cryptic,ATG14,ENSG00000126775.9,ENSG00000126775
chr14:55390992-55394649,NMD rescued,0.0333,0.0352,0.008,0.1572,FALSE,TRUE,Dark cryptic,ATG14,ENSG00000126775.9,ENSG00000126775
chr14:55162615-55162971,non-NMD rescued,0.0217,0.0172,0.0646,0.1182,FALSE,TRUE,Dark cryptic,DLGAP5,ENSG00000126787.13,ENSG00000126787
chr19:5675339-5676721,NMD rescued,0.0264,0.0278,0.0059,0.2451,FALSE,TRUE,Dark cryptic,RPL36,ENSG00000130255.13,ENSG00000130255
chr19:17623263-17623542,non-NMD rescued,0.0028,0.0384,0.0924,0.1117,FALSE,TRUE,non-NMD rescued,UNC13A,ENSG00000130477.16,ENSG00000130477
chr19:17642591-17642845,NMD rescued,0.0034,5e-04,0.1837,0.3777,TRUE,TRUE,NMD rescued,UNC13A,ENSG00000130477.16,ENSG00000130477
chr19:17642541-17642845,non-NMD rescued,0.0034,5e-04,0.5808,0.4799,TRUE,TRUE,non-NMD rescued,UNC13A,ENSG00000130477.16,ENSG00000130477
chr19:17642592-17642844,non-NMD rescued,0.0246,0.0103,0.2216,0.1343,TRUE,TRUE,non-NMD rescued,UNC13A,ENSG00000130477.16,ENSG00000130477
chr19:17653320-17655274,non-NMD rescued,0.0051,0.0192,0.2051,0.1748,TRUE,TRUE,non-NMD rescued,UNC13A,ENSG00000130477.16,ENSG00000130477
chr19:17641556-17642414,NMD rescued,0.0034,5e-04,0.6079,0.7823,TRUE,TRUE,NMD rescued,UNC13A,ENSG00000130477.16,ENSG00000130477
chr19:17641557-17641824,non-NMD rescued,0.0246,0.0103,0.2814,0.1484,TRUE,TRUE,non-NMD rescued,UNC13A,ENSG00000130477.16,ENSG00000130477
chr19:17652677-17652953,non-NMD rescued,0.0034,0.0075,0.1771,0.1599,TRUE,TRUE,non-NMD rescued,UNC13A,ENSG00000130477.16,ENSG00000130477
chr2:1650886-1653628,non-NMD rescued,6e-04,0.0084,0.6514,0.557,TRUE,TRUE,non-NMD rescued,PXDN,ENSG00000130508.11,ENSG00000130508
chr2:1649675-1650800,non-NMD rescued,0.0046,0.0085,0.695,0.6621,TRUE,TRUE,non-NMD rescued,PXDN,ENSG00000130508.11,ENSG00000130508
chr22:43833734-43833989,non-NMD rescued,0.0157,0.0497,0.0741,0.1012,FALSE,TRUE,non-NMD rescued,SULT4A1,ENSG00000130540.14,ENSG00000130540
chr1:26255865-26256781,NMD rescued,0.003,0.0396,0.0011,0.117,FALSE,TRUE,Dark cryptic,CEP85,ENSG00000130695.16,ENSG00000130695
chr20:62325546-62326865,non-NMD rescued,0.0061,0.0237,0.012,0.1093,FALSE,TRUE,Dark cryptic,LAMA5,ENSG00000130702.15,ENSG00000130702
chr22:50229577-50240204,NMD rescued,0.0128,0.015,0.1801,0.4173,TRUE,TRUE,NMD rescued,TUBGCP6,ENSG00000128159.12,ENSG00000128159
chrX:153670130-153670744,non-NMD rescued,0.0375,0.0479,0.0212,0.1092,FALSE,TRUE,Dark cryptic,PNCK,ENSG00000130822.16,ENSG00000130822
