dox0_sh,paste_into_igv_junction,dox0125,dox0187,dox021,dox025,dox075,timing_shsy5y,max_psi_sh,dox0_be2,dox002,dox003,dox004,dox005,dox0075,dox01,dox1,timing_be2,max_psi_be2,junction_for_clustering,gene,strand,junction_cat,cryptic,ID_exon,UMAP_1_together,UMAP_2_together,cluster_together,UMAP_1_sh,UMAP_2_sh,cluster_sh,UMAP_1_be2,UMAP_2_be2,cluster_be2,last_exon
0.184,chrX:41555635-41559779,0.184,0.184,0.184,0.184,0.53,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CASK,-,skip,no,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.293,chrX:41553915-41555600,0.293,0.419,0.419,0.419,0.595,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,CASK,-,donor,no,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.114,chr19:1235342-1235501,0.244,0.48,0.609,0.615,0.663,Early,Top,0.029,0.246,0.545,0.6,0.608,0.764,0.764,0.764,Earli,Top,yes,CBARP,-,annotated,no,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.041,chr22:20149640-20149955,0.205,0.205,0.205,0.246,0.351,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CCDC188,-,donor,yes,77,-2.260009664,-6.595173514,7,2.715901073,0.695412323,2,NA,NA,NA,FALSE
0.046,chr15:74209534-74243985,0.149,0.231,0.256,0.256,0.309,Early,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CCDC33,+,acceptor,no,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.043,chr15:74212277-74243985,0.067,0.042,0.196,0.224,0.353,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CCDC33,+,acceptor,no,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.579,chr17:82178605-82179027,0.579,0.893,0.893,0.893,0.957,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CCDC57,-,donor,no,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.267,chr14:23050140-23051969,0.562,0.801,0.935,0.91,0.899,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,Early,NA,yes,CDH24,-,donor,no,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr14:23052083-23052473,NA,NA,NA,NA,NA,Earli,NA,0.059,0.123,0.219,0.299,0.294,0.327,0.334,0.324,Early,Bottom,no,CDH24,-,annotated,no,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.347,chr16:4514664-4538325,0.347,0.496,0.496,0.496,0.719,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CDIP1,-,donor,no,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.378,chr9:120404113-120408347,0.378,0.838,0.855,0.863,0.9,Earli,Top,0.209,0.541,0.768,0.854,0.887,0.882,0.885,0.893,Earli,Top,yes,CDK5RAP2,-,skip,no,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr5:69261458-69262205,0.001,0.001,0.001,0.001,0.224,Late,Bottom,0,0,0,0,0,0,0,0.212,Late,Bottom,yes,CDK7,+,novel_donor,yes,84,1.511519116,1.705832499,5,-1.760974604,-4.907280333,1,3.621166264,-5.135592987,5,FALSE
0.584,chr6:21200892-21201110,0.584,0.584,0.584,0.584,0.855,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CDKAL1,+,donor,no,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.002,chr5:115813954-115816228,0.002,0.394,0.346,0.513,0.513,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CDO1,-,acceptor,yes,86,-6.459370619,-7.412322763,1,1.417688335,3.863309241,4,NA,NA,NA,FALSE
0.002,chr5:115813258-115813898,0.002,0.419,0.419,0.441,0.422,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,CDO1,-,donor,yes,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr11:47468891-47472191,NA,NA,NA,NA,NA,NA,NA,0.408,0.408,0.408,0.408,0.605,0.658,0.654,0.702,Intermediate,Medium,yes,CELF1,-,annotated,no,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.004,chr19:3286025-3286224,0.004,0.004,0.004,0.004,0.473,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CELF5,+,acceptor,yes,88,4.94141317,-3.134692262,2,-3.091869758,-2.098010045,1,NA,NA,NA,FALSE
0.278,chr3:48649215-48650275,0.278,0.687,0.766,0.888,0.995,Earli,Top,0.129,0.129,0.129,0.129,0.363,0.363,0.478,0.628,Early,Top,yes,CELSR3,-,novel_donor,no,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.292,chr3:48650289-48650480,0.292,0.704,0.783,0.899,0.997,Earli,Top,0.093,0.093,0.3,0.349,0.418,0.418,0.546,0.639,Early,Top,no,CELSR3,-,novel_acceptor,no,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.305,chr11:119011311-119011939,0.305,0.305,0.305,0.305,0.811,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CENATAC,+,donor,no,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr14:104865513-104876256,NA,NA,NA,NA,NA,NA,NA,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.305,Late,Bottom,yes,CEP170B,+,skip,yes,91,2.04538746,1.973770825,5,NA,NA,NA,3.734561963,-5.643468351,5,FALSE
NA,chr12:88086742-88087780,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,0.001,0.001,0.001,0.093,0.091,0.169,Late,Bottom,yes,CEP290,-,novel_acceptor,yes,92,1.223981022,2.838564725,5,NA,NA,NA,2.788304063,-4.080696667,3,FALSE
NA,chr12:88086789-88087780,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,0.001,0.001,0.001,0.338,0.535,0.618,Late,Top,yes,CEP290,-,novel_acceptor,yes,93,-0.655617281,3.419596693,4,NA,NA,NA,-1.941547151,-1.794223835,2,FALSE
0.566,chr4:174316567-174317335,0.566,0.755,0.713,0.781,0.824,Early,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CEP44,+,donor,no,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.607,chr4:174316290-174316530,0.607,0.778,0.783,0.794,0.856,Early,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,CEP44,+,acceptor,no,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.003,chr5:648223-652988,0.192,0.403,0.469,0.469,0.611,Earli,Top,0.043,0.367,0.66,0.665,0.633,0.633,0.609,0.609,Earli,Top,yes,CEP72,+,novel_donor,yes,95,-4.443622736,2.47893508,3,1.673034884,3.965882329,4,-1.318944223,5.383552595,1,FALSE
NA,chr5:647916-648100,NA,NA,NA,NA,NA,Earli,NA,0.023,0.6,0.927,0.881,0.912,0.912,0.912,0.912,Earli,Top,no,CEP72,+,novel_acceptor,yes,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.559,chr2:168766345-168769510,0.559,0.559,0.559,0.559,0.785,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CERS6,+,donor,no,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr20:5912706-5914618,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.002,0.002,0.083,0.19,0.168,0.202,Late,Bottom,yes,CHGB,+,novel_donor,yes,97,0.802739547,3.152767293,5,NA,NA,NA,2.241844201,-3.024779426,3,FALSE
NA,chr20:5912706-5916326,NA,NA,NA,NA,NA,NA,NA,0.006,0.006,0.006,0.006,0.006,0.166,0.143,0.211,Late,Bottom,yes,CHGB,+,novel_donor,yes,98,0.992518028,3.003155413,5,NA,NA,NA,2.278526572,-3.465323402,3,FALSE
NA,chr11:900980-902148,NA,NA,NA,NA,NA,NA,NA,0.017,0.017,0.017,0.017,0.017,0.297,0.364,0.379,Late,Medium,yes,CHID1,-,annotated,yes,99,0.73438447,3.23687799,5,NA,NA,NA,-1.324247931,-1.967183439,2,FALSE
0.01,chr17:7446113-7446398,0.01,0.01,0.01,0.17,0.339,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CHRNB1,+,acceptor,yes,100,5.354869843,-5.139132934,6,-0.59365147,-1.665957332,5,NA,NA,NA,FALSE
0.107,chr2:121445496-121447337,0.107,0.107,0.107,0.226,0.407,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CLASP1,-,acceptor,no,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr2:121425306-121427404,NA,NA,NA,NA,NA,Intermediate,NA,0.45,0.45,0.45,0.45,0.45,0.45,0.694,0.766,Late,Medium,yes,CLASP1,-,annotated,no,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.1,chr2:121430177-121444939,0.1,0.1,0.1,0.202,0.381,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,Late,NA,no,CLASP1,-,donor,no,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr2:121427430-121430073,NA,NA,NA,NA,NA,Intermediate,NA,0.455,0.455,0.455,0.455,0.455,0.455,0.7,0.761,Late,Medium,no,CLASP1,-,skip,no,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.185,chr3:33573354-33574473,0.185,0.185,0.185,0.185,0.445,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CLASP2,-,donor,no,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.157,chr3:33644903-33658974,0.157,0.157,0.157,0.157,0.5,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CLASP2,-,donor,no,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.206,chr3:33574496-33576169,0.206,0.206,0.206,0.206,0.466,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,CLASP2,-,acceptor,no,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr3:170423327-170432279,NA,NA,NA,NA,NA,NA,NA,0.018,0.018,0.018,0.018,0.359,0.521,0.618,0.618,Intermediate,Top,yes,CLDN11,+,ambig_gene,yes,105,-1.359635571,9.687358219,9,NA,NA,NA,-2.205169632,-0.387579879,2,FALSE
NA,chr12:122334705-122336632,NA,NA,NA,NA,NA,NA,NA,0.658,0.658,0.946,0.943,0.956,0.963,0.973,0.981,Early,Medium,yes,CLIP1,-,annotated,no,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr12:122336748-122340753,NA,NA,NA,NA,NA,NA,NA,0.66,0.66,0.941,0.937,0.947,0.952,0.973,0.965,Early,Medium,no,CLIP1,-,annotated,no,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr8:138878316-138913619,NA,NA,NA,NA,NA,NA,NA,0.084,0.084,0.084,0.312,0.422,0.419,0.437,0.545,Early,Top,yes,COL22A1,-,skip,no,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.002,chr16:4367442-4387986,0.002,0.232,0.232,0.308,0.308,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CORO7-PAM16,-,acceptor,yes,108,-6.904833564,-8.237836241,1,1.820599847,1.977782596,2,NA,NA,NA,FALSE
0.37,chrX:100828102-100830808,0.37,0.37,0.37,0.37,0.778,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CSTF2,+,acceptor,no,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.275,chrX:100830867-100831515,0.275,0.275,0.275,0.275,0.576,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,CSTF2,+,skip,no,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.436,chr11:57806035-57806461,0.436,0.436,0.436,0.549,0.68,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CTNND1,+,acceptor,no,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.377,chr3:51483836-51499873,0.377,0.377,0.377,0.576,0.762,Intermediate,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DCAF1,-,skip,no,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.602,chr2:74363628-74365075,0.602,0.602,0.602,0.602,0.846,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DCTN1,-,acceptor,no,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.606,chr2:74363427-74363614,0.606,0.606,0.606,0.606,0.849,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,DCTN1,-,donor,no,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.64,chr6:30884710-30885625,0.64,0.894,0.989,0.983,0.994,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DDR1,+,acceptor,no,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.642,chr6:30885680-30888688,0.642,0.934,0.989,0.982,0.986,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,DDR1,+,donor,no,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr1:197560874-197583152,NA,NA,NA,NA,NA,NA,NA,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.291,Late,Bottom,yes,DENND1B,-,novel_acceptor,yes,114,2.060993895,1.975784784,5,NA,NA,NA,3.651895195,-5.746889941,5,FALSE
0.008,chr11:8750725-8776192,0.008,0.069,0.138,0.306,0.378,Intermediate,Medium,0.008,0.008,0.098,0.189,0.286,0.293,0.274,0.319,Early,Medium,yes,DENND2B,-,annotated,yes,115,-2.573076883,3.552679525,4,-0.090370514,0.112023849,5,0.489955316,0.200446528,4,FALSE
NA,chr11:8750725-8780133,NA,NA,NA,NA,NA,NA,NA,0.008,0.008,0.11,0.138,0.232,0.186,0.221,0.222,Early,Bottom,yes,DENND2B,-,novel_donor,yes,116,0.202008242,9.53926045,9,NA,NA,NA,1.404776728,-1.483648101,0,FALSE
NA,chr11:8780251-8811247,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,0.001,0.177,0.231,0.267,0.267,0.282,Early,Medium,no,DENND2B,-,novel_acceptor,yes,116,-0.223101562,9.508603201,9,NA,NA,NA,0.585471289,-0.394236213,4,FALSE
NA,chr22:50316712-50317293,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.04,0.331,0.287,0.451,0.446,0.439,Early,Medium,yes,DENND6B,-,annotated,yes,117,-1.243839181,9.408053092,9,NA,NA,NA,-1.017798864,1.100206969,4,FALSE
0.044,chr7:137487689-137493783,0.044,0.044,0.044,0.044,0.459,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DGKI,-,donor,yes,118,4.808872532,-3.185005064,2,-2.767886326,-1.957909233,1,NA,NA,NA,FALSE
NA,chr8:13585926-13604537,NA,NA,NA,NA,NA,NA,NA,0.064,0.064,0.064,0.064,0.064,0.246,0.292,0.448,Late,Medium,yes,DLC1,-,novel_acceptor,no,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.006,chr10:77793235-77794008,0.006,0.006,0.006,0.065,0.208,Late,Bottom,0,0,0,0.071,0.098,0.148,0.128,0.192,Intermediate,Bottom,yes,DLG5,-,novel_acceptor,yes,120,0.165911475,2.947873497,5,-1.15634274,-4.731453714,1,2.265329562,-3.08708195,3,FALSE
0.002,chr10:77792543-77793165,0.002,0.002,0.002,0.054,0.198,Late,Bottom,0,0,0,0.059,0.078,0.125,0.136,0.194,Intermediate,Bottom,no,DLG5,-,novel_donor,yes,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr10:77792544-77793164,NA,NA,NA,NA,NA,Late,NA,0.023,0.023,0.023,0.155,0.197,0.221,0.273,0.273,Intermediate,Bottom,no,DLG5,-,novel_donor,yes,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.606,chr7:769205-770471,0.606,0.606,0.606,0.606,0.863,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DNAAF5,+,donor,no,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr20:3343731-3344641,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.002,0.002,0.002,0.002,0.218,0.238,Late,Bottom,yes,DNAAF9,-,novel_donor,yes,122,1.232085166,2.828406814,5,NA,NA,NA,2.630039955,-3.96152647,3,FALSE
NA,chr20:3344699-3348525,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.002,0.002,0.002,0.179,0.283,0.28,Late,Medium,no,DNAAF9,-,novel_acceptor,yes,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.25,chr20:63931022-63931109,0.25,0.523,0.513,0.513,0.678,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DNAJC5,+,acceptor,no,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.218,chr20:63931182-63931465,0.218,0.46,0.466,0.492,0.616,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,DNAJC5,+,donor,no,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.004,chr9:128250940-128253047,0.004,0.092,0.066,0.087,0.17,Early,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,DNM1,+,acceptor,yes,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.2,chr9:128253137-128254006,0.2,0.526,0.551,0.564,0.564,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DNM1,+,donor,no,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.315,chr12:32737161-32737865,0.315,0.315,0.315,0.315,0.573,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DNM1L,+,acceptor,no,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0,chr2:25237276-25239130,0,0.051,0.078,0.145,0.175,Intermediate,Bottom,0,0,0,0,0.137,0.174,0.195,0.228,Intermediate,Bottom,yes,DNMT3A,-,novel_acceptor,yes,126,0.157692984,3.015012563,5,0.070252445,-2.190720473,5,2.074498255,-2.874907498,3,FALSE
0,chr2:25237005-25237139,0,0.08,0.064,0.107,0.15,Intermediate,Bottom,0.001,0.001,0.001,0.001,0.172,0.201,0.171,0.199,Intermediate,Bottom,no,DNMT3A,-,novel_donor,yes,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.002,chr10:127382041-127384790,0.002,0.228,0.228,0.228,0.476,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DOCK1,+,donor,yes,127,-6.675072072,-8.485299237,1,1.624853793,1.39732933,2,NA,NA,NA,FALSE
0.002,chr10:127381368-127381953,0.002,0.002,0.156,0.144,0.387,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,DOCK1,+,acceptor,yes,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr10:127257429-127272011,NA,NA,NA,NA,NA,NA,NA,0.099,0.099,0.099,0.413,0.404,0.51,0.51,0.623,Early,Top,yes,DOCK1,+,annotated,no,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.46,chr1:62487412-62488934,0.46,0.46,0.46,0.46,0.783,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DOCK7,-,acceptor,no,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr1:62543745-62552732,NA,NA,NA,NA,NA,NA,NA,0.402,0.402,0.402,0.402,0.606,0.606,0.665,0.679,Intermediate,Bottom,yes,DOCK7,-,skip,no,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.464,chr1:62477825-62487398,0.464,0.464,0.464,0.464,0.786,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,DOCK7,-,donor,no,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr12:63621337-63624040,NA,NA,NA,NA,NA,NA,NA,0.405,0.405,0.654,0.654,0.698,0.714,0.714,0.747,Early,Medium,yes,DPY19L2,-,annotated,no,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.606,chr1:111119959-111120516,0.606,0.733,0.738,0.72,0.885,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DRAM2,-,donor,no,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr6:56528925-56529448,NA,NA,NA,NA,NA,NA,NA,0.487,0.487,0.788,0.873,0.857,0.882,0.875,0.884,Early,Medium,yes,DST,-,annotated,no,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr6:56529774-56529974,NA,NA,NA,NA,NA,NA,NA,0.527,0.527,0.85,0.911,0.897,0.924,0.904,0.918,Early,Medium,yes,DST,-,annotated,no,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr6:56463156-56463565,NA,NA,NA,NA,NA,NA,NA,0.56,0.56,0.81,0.85,0.814,0.793,0.766,0.805,Early,Bottom,no,DST,-,annotated,no,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr2:25419535-25427535,NA,NA,NA,NA,NA,NA,NA,0.231,0.231,0.231,0.231,0.231,0.231,0.231,0.551,Intermediate,Medium,yes,DTNB,-,annotated,no,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr2:25388361-25419515,NA,NA,NA,NA,NA,NA,NA,0.245,0.245,0.245,0.245,0.471,0.471,0.471,0.545,Intermediate,Medium,no,DTNB,-,annotated,no,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.004,chr7:96039421-96041462,0.004,0.141,0.141,0.141,0.333,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DYNC1I1,+,acceptor,yes,136,0.684378827,-5.580337386,8,1.083344364,-0.713815016,5,NA,NA,NA,FALSE
0.006,chr7:96061328-96076057,0.006,0.006,0.006,0.006,0.358,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,DYNC1I1,+,donor,yes,137,5.595276402,-3.176030021,2,-2.929235709,-2.690471742,1,NA,NA,NA,FALSE
0.393,chr2:11453798-11457179,0.393,0.633,0.628,0.704,0.727,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,E2F6,-,skip,no,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr10:129840334-129842116,NA,NA,NA,NA,NA,NA,NA,0.377,0.377,0.62,0.62,0.574,0.595,0.552,0.658,Early,Medium,yes,EBF3,-,novel_exon_skip,no,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr19:47724741-47725812,NA,NA,NA,NA,NA,NA,NA,0.042,0.042,0.364,0.497,0.497,0.9,0.904,0.904,Earli,Top,yes,EHD2,+,novel_donor,yes,140,-2.091667049,9.105700611,9,NA,NA,NA,-1.095610648,4.446733563,1,FALSE
0.001,chr9:137778055-137790848,0.001,0.001,0.001,0.115,0.231,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,EHMT1,+,skip,yes,141,5.706010763,-4.78532663,6,-0.640875835,-2.529706167,5,NA,NA,NA,FALSE
NA,chr3:186787882-186788310,NA,NA,NA,NA,NA,NA,NA,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.383,Late,Bottom,yes,EIF4A2,+,annotated,no,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.214,chr3:184316218-184316713,0.214,0.214,0.214,0.214,0.505,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,EIF4G1,+,acceptor,no,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.252,chr3:184316733-184317321,0.252,0.252,0.252,0.252,0.512,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,EIF4G1,+,donor,no,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0,chr19:11463662-11466172,0,0.162,0.303,0.561,0.829,Early,Top,0.002,0.002,0.36,0.67,0.749,0.75,0.754,0.776,Earli,Top,yes,ELAVL3,-,novel_acceptor,yes,144,-4.250926024,2.329280337,3,0.925829661,4.997096031,4,-1.029700496,4.772215621,1,FALSE
0,chr19:11458611-11463496,0,0.164,0.254,0.455,0.827,Early,Top,0.001,0.001,0.286,0.647,0.736,0.743,0.719,0.75,Earli,Top,no,ELAVL3,-,novel_donor,yes,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.672,chr1:23772426-23778199,0.672,0.672,0.923,0.923,0.992,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ELOA-AS1,-,acceptor,no,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr2:42256630-42261121,NA,NA,NA,NA,NA,NA,NA,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.54,Late,Bottom,yes,EML4,+,annotated,no,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.032,chr17:80429831-80436133,0.053,0.032,0.032,0.032,0.298,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ENDOV,+,acceptor,yes,147,6.593617887,-3.442034679,2,-1.799696716,-3.607964919,1,NA,NA,NA,TRUE
NA,chr12:131992230-132005077,NA,NA,NA,NA,NA,NA,NA,0.015,0.015,0.541,0.733,0.775,0.807,0.807,0.777,Earli,Top,no,EP400,+,novel_exon_skip,yes,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr12:131981596-131982093,NA,NA,NA,NA,NA,NA,NA,0.675,0.675,0.675,0.675,0.675,0.675,0.894,0.92,Earli,Bottom,yes,EP400,+,annotated,no,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr1:29058645-29058811,NA,NA,NA,NA,NA,NA,NA,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.883,Late,Bottom,yes,EPB41,+,annotated,no,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr1:29058852-29060422,NA,NA,NA,NA,NA,NA,NA,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.651,Late,Bottom,no,EPB41,+,annotated,no,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.373,chr20:36194360-36195329,0.373,0.373,0.373,0.373,0.664,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,EPB41L1,+,acceptor,no,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.368,chr20:36195364-36197859,0.368,0.368,0.368,0.368,0.648,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,EPB41L1,+,skip,no,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
